Time [us] - histogram	Counts - histogram
0.005	97
0.015	83
0.025	29
0.035	170
0.045	224
0.055	122
0.065	36
0.075	22
0.085	14
0.095	5
0.105	1
0.115	9
0.125	5
0.135	5
0.145	5
0.155	1
0.165	3
0.175	5
0.185	29
0.195	71
0.205	40
0.215	9
0.225	8
0.235	12
0.245	7
0.255	36
0.265	47
0.275	9
0.285	11
0.295	2
0.305	5
0.315	18
0.325	144
0.335	2116
0.345	6915
0.355	7575
0.365	4218
0.375	3020
0.385	1560
0.395	522
0.405	239
0.415	153
0.425	111
0.435	105
0.445	97
0.455	78
0.465	69
0.475	64
0.485	58
0.495	65
0.505	54
0.515	42
0.525	40
0.535	44
0.545	38
0.555	35
0.565	40
0.575	33
0.585	27
0.595	42
0.605	35
0.615	71
0.625	79
0.635	108
0.645	142
0.655	116
0.665	107
0.675	105
0.685	71
0.695	65
0.705	55
0.715	33
0.725	28
0.735	15
0.745	22
0.755	17
0.765	15
0.775	10
0.785	15
0.795	14
0.805	25
0.815	15
0.825	19
0.835	17
0.845	16
0.855	20
0.865	14
0.875	12
0.885	22
0.895	11
0.905	12
0.915	7
0.925	9
0.935	11
0.945	10
0.955	6
0.965	12
0.975	11
0.985	8
0.995	14
1.005	11
1.015	14
1.025	7
1.035	14
1.045	9
1.055	10
1.065	2
1.075	6
1.085	6
1.095	6
1.105	11
1.115	11
1.125	7
1.135	4
1.145	3
1.155	9
1.165	5
1.175	4
1.185	10
1.195	4
1.205	7
1.215	10
1.225	3
1.235	8
1.245	7
1.255	2
1.265	6
1.275	2
1.285	3
1.295	6
1.305	2
1.315	9
1.325	5
1.335	8
1.345	8
1.355	5
1.365	3
1.375	3
1.385	1
1.395	4
1.405	4
1.415	4
1.425	7
1.435	5
1.445	2
1.455	5
1.465	7
1.475	5
1.485	9
1.495	1
1.505	12
1.515	5
1.525	7
1.535	4
1.545	6
1.555	2
1.565	3
1.575	4
1.585	4
1.595	2
1.605	5
1.615	7
1.625	6
1.635	6
1.645	6
1.655	6
1.665	3
1.675	3
1.685	4
1.695	1
1.705	5
1.715	5
1.725	5
1.735	5
1.745	3
1.755	4
1.765	2
1.775	6
1.785	2
1.795	2
1.805	4
1.815	5
1.825	2
1.835	5
1.845	6
1.855	10
1.865	5
1.875	2
1.885	4
1.895	4
1.905	1
1.915	4
1.925	2
1.935	5
1.945	4
1.955	4
1.965	2
1.975	6
1.985	3
1.995	4
2.005	2
2.015	4
2.025	4
2.035	1
2.045	4
2.055	4
2.065	4
2.075	3
2.085	3
2.095	1
2.105	1
2.115	3
2.125	2
2.135	4
2.145	2
2.155	1
2.165	2
2.175	5
2.185	2
2.195	2
2.205	4
2.215	4
2.225	0
2.235	1
2.245	6
2.255	4
2.265	1
2.275	4
2.285	2
2.295	3
2.305	1
2.315	3
2.325	5
2.335	3
2.345	2
2.355	4
2.365	1
2.375	3
2.385	3
2.395	3
2.405	1
2.415	2
2.425	3
2.435	2
2.445	4
2.455	1
2.465	3
2.475	5
2.485	5
2.495	1
2.505	1
2.515	4
2.525	3
2.535	2
2.545	1
2.555	2
2.565	2
2.575	1
2.585	1
2.595	2
2.605	4
2.615	6
2.625	2
2.635	2
2.645	1
2.655	3
2.665	3
2.675	0
2.685	4
2.695	2
2.705	1
2.715	3
2.725	1
2.735	2
2.745	2
2.755	1
2.765	1
2.775	1
2.785	2
2.795	2
2.805	2
2.815	2
2.825	1
2.835	1
2.845	0
2.855	1
2.865	3
2.875	3
2.885	1
2.895	0
2.905	2
2.915	3
2.925	0
2.935	2
2.945	3
2.955	1
2.965	0
2.975	0
2.985	4
2.995	1
3.005	2
3.015	2
3.025	1
3.035	2
3.045	1
3.055	1
3.065	5
3.075	2
3.085	2
3.095	1
3.105	0
3.115	2
3.125	0
3.135	3
3.145	3
3.155	3
3.165	0
3.175	1
3.185	1
3.195	1
3.205	4
3.215	3
3.225	0
3.235	1
3.245	3
3.255	2
3.265	0
3.275	1
3.285	3
3.295	2
3.305	3
3.315	3
3.325	1
3.335	4
3.345	2
3.355	0
3.365	3
3.375	2
3.385	0
3.395	2
3.405	1
3.415	1
3.425	1
3.435	0
3.445	1
3.455	0
3.465	1
3.475	1
3.485	0
3.495	2
3.505	0
3.515	0
3.525	3
3.535	2
3.545	1
3.555	0
3.565	0
3.575	0
3.585	3
3.595	1
3.605	0
3.615	1
3.625	0
3.635	3
3.645	2
3.655	0
3.665	2
3.675	0
3.685	1
3.695	2
3.705	0
3.715	0
3.725	3
3.735	0
3.745	1
3.755	1
3.765	1
3.775	1
3.785	1
3.795	1
3.805	2
3.815	1
3.825	1
3.835	0
3.845	2
3.855	1
3.865	0
3.875	0
3.885	0
3.895	3
3.905	1
3.915	0
3.925	0
3.935	1
3.945	2
3.955	2
3.965	2
3.975	1
3.985	1
3.995	2
4.005	2
4.015	0
4.025	0
4.035	1
4.045	2
4.055	1
4.065	0
4.075	0
4.085	2
4.095	2
4.105	0
4.115	0
4.125	3
4.135	2
4.145	2
4.155	0
4.165	2
4.175	0
4.185	1
4.195	2
4.205	0
4.215	0
4.225	1
4.235	1
4.245	0
4.255	3
4.265	0
4.275	1
4.285	0
4.295	0
4.305	0
4.315	0
4.325	1
4.335	1
4.345	0
4.355	2
4.365	2
4.375	0
4.385	1
4.395	2
4.405	2
4.415	0
4.425	1
4.435	0
4.445	0
4.455	2
4.465	1
4.475	0
4.485	0
4.495	0
4.505	1
4.515	1
4.525	2
4.535	0
4.545	0
4.555	2
4.565	1
4.575	3
4.585	0
4.595	0
4.605	1
4.615	0
4.625	0
4.635	0
4.645	0
4.655	2
4.665	0
4.675	1
4.685	0
4.695	0
4.705	3
4.715	0
4.725	3
4.735	0
4.745	0
4.755	1
4.765	1
4.775	1
4.785	2
4.795	0
4.805	1
4.815	1
4.825	2
4.835	0
4.845	1
4.855	1
4.865	0
4.875	0
4.885	1
4.895	2
4.905	1
4.915	1
4.925	0
4.935	0
4.945	0
4.955	1
4.965	2
4.975	0
4.985	0
4.995	0
5.005	0
5.015	1
5.025	1
5.035	0
5.045	0
5.055	1
5.065	0
5.075	0
5.085	0
5.095	2
5.105	1
5.115	0
5.125	0
5.135	1
5.145	0
5.155	0
5.165	0
5.175	1
5.185	1
5.195	2
5.205	1
5.215	0
5.225	0
5.235	0
5.245	0
5.255	0
5.265	1
5.275	0
5.285	2
5.295	0
5.305	1
5.315	0
5.325	0
5.335	0
5.345	0
5.355	1
5.365	0
5.375	0
5.385	1
5.395	1
5.405	0
5.415	0
5.425	0
5.435	0
5.445	1
5.455	0
5.465	1
5.475	0
5.485	0
5.495	0
5.505	0
5.515	1
5.525	1
5.535	0
5.545	0
5.555	0
5.565	0
5.575	1
5.585	2
5.595	0
5.605	1
5.615	0
5.625	0
5.635	0
5.645	0
5.655	0
5.665	0
5.675	0
5.685	1
5.695	0
5.705	2
5.715	0
5.725	1
5.735	0
5.745	0
5.755	0
5.765	1
5.775	2
5.785	0
5.795	0
5.805	0
5.815	2
5.825	0
5.835	0
5.845	1
5.855	1
5.865	1
5.875	3
5.885	0
5.895	0
5.905	1
5.915	0
5.925	1
5.935	0
5.945	2
5.955	0
5.965	0
5.975	1
5.985	0
5.995	0
6.005	1
6.015	0
6.025	0
6.035	1
6.045	0
6.055	0
6.065	2
6.075	0
6.085	0
6.095	0
6.105	1
6.115	0
6.125	0
6.135	2
6.145	0
6.155	0
6.165	1
6.175	0
6.185	0
6.195	0
6.205	1
6.215	0
6.225	1
6.235	0
6.245	2
6.255	2
6.265	0
6.275	0
6.285	0
6.295	0
6.305	1
6.315	1
6.325	0
6.335	0
6.345	0
6.355	0
6.365	0
6.375	0
6.385	1
6.395	0
6.405	1
6.415	2
6.425	2
6.435	3
6.445	1
6.455	1
6.465	2
6.475	0
6.485	0
6.495	1
6.505	0
6.515	0
6.525	2
6.535	0
6.545	1
6.555	2
6.565	0
6.575	0
6.585	0
6.595	2
6.605	0
6.615	0
6.625	1
6.635	0
6.645	0
6.655	0
6.665	0
6.675	0
6.685	0
6.695	0
6.705	0
6.715	0
6.725	0
6.735	0
6.745	0
6.755	0
6.765	0
6.775	0
6.785	1
6.795	0
6.805	0
6.815	0
6.825	0
6.835	1
6.845	0
6.855	0
6.865	0
6.875	1
6.885	0
6.895	1
6.905	0
6.915	0
6.925	0
6.935	1
6.945	0
6.955	1
6.965	1
6.975	0
6.985	0
6.995	0
7.005	0
7.015	0
7.025	2
7.035	0
7.045	0
7.055	0
7.065	0
7.075	0
7.085	0
7.095	2
7.105	2
7.115	1
7.125	1
7.135	0
7.145	0
7.155	0
7.165	0
7.175	1
7.185	0
7.195	1
7.205	0
7.215	0
7.225	0
7.235	0
7.245	0
7.255	0
7.265	0
7.275	1
7.285	0
7.295	0
7.305	0
7.315	1
7.325	0
7.335	0
7.345	0
7.355	0
7.365	0
7.375	1
7.385	0
7.395	1
7.405	2
7.415	0
7.425	0
7.435	0
7.445	1
7.455	0
7.465	1
7.475	0
7.485	0
7.495	1
7.505	0
7.515	0
7.525	1
7.535	0
7.545	1
7.555	2
7.565	0
7.575	0
7.585	0
7.595	0
7.605	0
7.615	1
7.625	0
7.635	0
7.645	0
7.655	0
7.665	0
7.675	1
7.685	0
7.695	0
7.705	0
7.715	0
7.725	1
7.735	1
7.745	0
7.755	1
7.765	0
7.775	1
7.785	1
7.795	0
7.805	2
7.815	0
7.825	0
7.835	0
7.845	0
7.855	0
7.865	0
7.875	0
7.885	0
7.895	0
7.905	1
7.915	1
7.925	0
7.935	1
7.945	0
7.955	0
7.965	0
7.975	0
7.985	1
7.995	1
8.005	1
8.015	1
8.025	0
8.035	0
8.045	0
8.055	1
8.065	0
8.075	0
8.085	2
8.095	0
8.105	0
8.115	0
8.125	0
8.135	1
8.145	0
8.155	2
8.165	1
8.175	0
8.185	0
8.195	0
8.205	0
8.215	0
8.225	0
8.235	0
8.245	0
8.255	0
8.265	0
8.275	0
8.285	0
8.295	0
8.305	0
8.315	1
8.325	0
8.335	0
8.345	1
8.355	0
8.365	1
8.375	0
8.385	0
8.395	0
8.405	0
8.415	1
8.425	0
8.435	0
8.445	0
8.455	0
8.465	1
8.475	1
8.485	0
8.495	0
8.505	0
8.515	0
8.525	0
8.535	0
8.545	0
8.555	1
8.565	0
8.575	1
8.585	0
8.595	1
8.605	3
8.615	0
8.625	1
8.635	0
8.645	1
8.655	0
8.665	0
8.675	0
8.685	0
8.695	1
8.705	0
8.715	0
8.725	1
8.735	1
8.745	1
8.755	0
8.765	0
8.775	0
8.785	0
8.795	0
8.805	0
8.815	1
8.825	1
8.835	0
8.845	0
8.855	1
8.865	1
8.875	1
8.885	1
8.895	0
8.905	1
8.915	0
8.925	0
8.935	0
8.945	1
8.955	1
8.965	0
8.975	0
8.985	0
8.995	0
9.005	1
9.015	1
9.025	0
9.035	0
9.045	2
9.055	0
9.065	0
9.075	0
9.085	0
9.095	0
9.105	1
9.115	1
9.125	0
9.135	0
9.145	0
9.155	0
9.165	0
9.175	0
9.185	0
9.195	0
9.205	0
9.215	0
9.225	0
9.235	0
9.245	0
9.255	0
9.265	1
9.275	0
9.285	1
9.295	1
9.305	0
9.315	1
9.325	1
9.335	1
9.345	0
9.355	0
9.365	0
9.375	1
9.385	2
9.395	0
9.405	0
9.415	0
9.425	0
9.435	0
9.445	0
9.455	0
9.465	1
9.475	2
9.485	0
9.495	0
9.505	0
9.515	0
9.525	0
9.535	0
9.545	0
9.555	0
9.565	0
9.575	0
9.585	1
9.595	1
9.605	0
9.615	1
9.625	0
9.635	0
9.645	1
9.655	0
9.665	0
9.675	0
9.685	0
9.695	2
9.705	0
9.715	0
9.725	2
9.735	0
9.745	1
9.755	0
9.765	0
9.775	0
9.785	1
9.795	0
9.805	1
9.815	1
9.825	2
9.835	0
9.845	0
9.855	0
9.865	0
9.875	1
9.885	0
9.895	0
9.905	0
9.915	0
9.925	1
9.935	0
9.945	0
9.955	0
9.965	0
9.975	1
9.985	0
9.995	1
