	time	error
0	7.0	5e-10
1	6.0	5e-10
2	5.5	5e-10
3	5.5	5e-10
4	5.0	5e-10
5	5.0	5e-10
6	4.5	5e-10
7	4.5	5e-10
8	4.5	5e-10
9	4.0	5e-10
10	4.0	5e-10
11	4.0	5e-10
12	4.0	5e-10
13	4.0	5e-10
14	4.0	5e-10
15	4.0	5e-10
16	4.0	5e-10
17	3.5	5e-10
18	3.5	5e-10
19	3.5	5e-10
20	3.5	5e-10
21	3.5	5e-10
22	3.5	5e-10
23	3.5	5e-10
24	3.5	5e-10
25	3.5	5e-10
26	3.5	5e-10
27	3.5	5e-10
28	3.5	5e-10
29	3.5	5e-10
30	3.5	5e-10
31	3.5	5e-10
32	3.5	5e-10
33	3.5	5e-10
34	3.5	5e-10
35	3.5	5e-10
36	3.5	5e-10
37	3.5	5e-10
38	3.5	5e-10
39	3.5	5e-10
40	3.0	5e-10
41	3.0	5e-10
42	3.0	5e-10
43	3.0	5e-10
44	3.0	5e-10
45	3.0	5e-10
46	3.0	5e-10
47	3.0	5e-10
48	3.0	5e-10
49	3.0	5e-10
50	3.0	5e-10
51	3.0	5e-10
52	3.0	5e-10
53	3.0	5e-10
54	3.0	5e-10
55	3.0	5e-10
56	3.0	5e-10
57	3.0	5e-10
58	3.0	5e-10
59	3.0	5e-10
60	3.0	5e-10
61	3.0	5e-10
62	3.0	5e-10
63	3.0	5e-10
64	3.0	5e-10
65	3.0	5e-10
66	3.0	5e-10
67	3.0	5e-10
68	3.0	5e-10
69	3.0	5e-10
70	3.0	5e-10
71	3.0	5e-10
72	3.0	5e-10
73	3.0	5e-10
74	3.0	5e-10
75	3.0	5e-10
76	2.5	5e-10
77	2.5	5e-10
78	2.5	5e-10
79	2.5	5e-10
80	2.5	5e-10
81	2.5	5e-10
82	2.5	5e-10
83	2.5	5e-10
84	2.5	5e-10
85	2.5	5e-10
86	2.5	5e-10
87	2.5	5e-10
88	2.5	5e-10
89	2.5	5e-10
90	2.5	5e-10
91	2.5	5e-10
92	2.5	5e-10
93	2.5	5e-10
94	2.5	5e-10
95	2.5	5e-10
96	2.5	5e-10
97	2.5	5e-10
98	2.5	5e-10
99	2.5	5e-10
100	2.5	5e-10
101	2.5	5e-10
102	2.5	5e-10
103	2.5	5e-10
104	2.5	5e-10
105	2.5	5e-10
106	2.5	5e-10
107	2.5	5e-10
108	2.5	5e-10
109	2.5	5e-10
110	2.5	5e-10
111	2.5	5e-10
112	2.5	5e-10
113	2.5	5e-10
114	2.5	5e-10
115	2.5	5e-10
116	2.5	5e-10
117	2.5	5e-10
118	2.5	5e-10
119	2.5	5e-10
120	2.5	5e-10
121	2.5	5e-10
122	2.5	5e-10
123	2.5	5e-10
124	2.5	5e-10
125	2.5	5e-10
126	2.5	5e-10
127	2.5	5e-10
128	2.5	5e-10
129	2.5	5e-10
130	2.5	5e-10
131	2.5	5e-10
132	2.5	5e-10
133	2.5	5e-10
134	2.5	5e-10
135	2.5	5e-10
136	2.0	5e-10
137	2.0	5e-10
138	2.0	5e-10
139	2.0	5e-10
140	2.0	5e-10
