Time [us] - histogram	Counts - histogram	
0.005	1	
0.015	1	
0.025	4	
0.035	1	
0.045	3	
0.055	5	
0.065	3	
0.075	2	
0.085	6	
0.095	7	
0.105	5	
0.115	4	
0.125	3	
0.135	2	
0.145	3	
0.155	1	
0.165	3	
0.175	2	
0.185	4	
0.195	4	
0.205	6	
0.215	2	
0.225	3	
0.235	5	
0.245	5	
0.255	6	
0.265	4	
0.275	5	
0.285	5	
0.295	4	
0.305	5	
0.315	2	
0.325	3	
0.335	3	
0.345	3	
0.355	0	
0.365	2	
0.375	2	
0.385	1	
0.395	4	
0.405	5	
0.415	1	
0.425	0	
0.435	6	
0.445	1	
0.455	5	
0.465	1	
0.475	3	
0.485	4	
0.495	3	
0.505	1	
0.515	4	
0.525	3	
0.535	2	
0.545	1	
0.555	2	
0.565	1	
0.575	3	
0.585	4	
0.595	3	
0.605	1	
0.615	0	
0.625	5	
0.635	2	
0.645	2	
0.655	3	
0.665	2	
0.675	2	
0.685	6	
0.695	2	
0.705	2	
0.715	4	
0.725	2	
0.735	2	
0.745	3	
0.755	2	
0.765	3	
0.775	9	
0.785	2	
0.795	4	
0.805	1	
0.815	3	
0.825	2	
0.835	5	
0.845	5	
0.855	3	
0.865	1	
0.875	1	
0.885	2	
0.895	6	
0.905	1	
0.915	1	
0.925	3	
0.935	2	
0.945	6	
0.955	4	
0.965	3	
0.975	5	
0.985	4	
0.995	3	
1.005	4	
1.015	2	
1.025	1	
1.035	1	
1.045	4	
1.055	4	
1.065	2	
1.075	2	
1.085	4	
1.095	3	
1.105	5	
1.115	2	
1.125	3	
1.135	5	
1.145	1	
1.155	2	
1.165	3	
1.175	6	
1.185	1	
1.195	2	
1.205	5	
1.215	1	
1.225	3	
1.235	2	
1.245	2	
1.255	1	
1.265	1	
1.275	1	
1.285	6	
1.295	2	
1.305	0	
1.315	4	
1.325	3	
1.335	1	
1.345	3	
1.355	1	
1.365	4	
1.375	1	
1.385	0	
1.395	1	
1.405	7	
1.415	4	
1.425	2	
1.435	2	
1.445	1	
1.455	3	
1.465	3	
1.475	2	
1.485	2	
1.495	0	
1.505	1	
1.515	3	
1.525	2	
1.535	1	
1.545	2	
1.555	3	
1.565	0	
1.575	1	
1.585	3	
1.595	0	
1.605	2	
1.615	0	
1.625	3	
1.635	2	
1.645	1	
1.655	2	
1.665	2	
1.675	2	
1.685	0	
1.695	2	
1.705	2	
1.715	2	
1.725	3	
1.735	1	
1.745	1	
1.755	3	
1.765	2	
1.775	1	
1.785	4	
1.795	0	
1.805	3	
1.815	3	
1.825	2	
1.835	4	
1.845	0	
1.855	0	
1.865	2	
1.875	2	
1.885	5	
1.895	3	
1.905	1	
1.915	3	
1.925	2	
1.935	1	
1.945	4	
1.955	2	
1.965	1	
1.975	3	
1.985	2	
1.995	2	
2.005	4	
2.015	0	
2.025	0	
2.035	1	
2.045	3	
2.055	2	
2.065	1	
2.075	0	
2.085	3	
2.095	3	
2.105	2	
2.115	1	
2.125	2	
2.135	2	
2.145	3	
2.155	2	
2.165	1	
2.175	1	
2.185	7	
2.195	2	
2.205	1	
2.215	0	
2.225	1	
2.235	2	
2.245	0	
2.255	1	
2.265	1	
2.275	1	
2.285	4	
2.295	1	
2.305	1	
2.315	3	
2.325	0	
2.335	2	
2.345	1	
2.355	1	
2.365	1	
2.375	0	
2.385	1	
2.395	2	
2.405	1	
2.415	0	
2.425	2	
2.435	3	
2.445	1	
2.455	1	
2.465	1	
2.475	3	
2.485	1	
2.495	1	
2.505	5	
2.515	2	
2.525	3	
2.535	3	
2.545	0	
2.555	3	
2.565	1	
2.575	2	
2.585	2	
2.595	1	
2.605	2	
2.615	0	
2.625	0	
2.635	1	
2.645	1	
2.655	1	
2.665	3	
2.675	0	
2.685	2	
2.695	1	
2.705	0	
2.715	1	
2.725	2	
2.735	0	
2.745	2	
2.755	0	
2.765	0	
2.775	1	
2.785	0	
2.795	0	
2.805	0	
2.815	0	
2.825	1	
2.835	2	
2.845	0	
2.855	1	
2.865	1	
2.875	2	
2.885	1	
2.895	0	
2.905	3	
2.915	0	
2.925	0	
2.935	0	
2.945	0	
2.955	1	
2.965	1	
2.975	0	
2.985	1	
2.995	3	
3.005	2	
3.015	1	
3.025	2	
3.035	0	
3.045	1	
3.055	0	
3.065	2	
3.075	0	
3.085	0	
3.095	0	
3.105	0	
3.115	2	
3.125	1	
3.135	0	
3.145	0	
3.155	1	
3.165	1	
3.175	2	
3.185	2	
3.195	0	
3.205	1	
3.215	0	
3.225	1	
3.235	1	
3.245	0	
3.255	0	
3.265	0	
3.275	1	
3.285	2	
3.295	0	
3.305	0	
3.315	1	
3.325	1	
3.335	2	
3.345	0	
3.355	1	
3.365	0	
3.375	1	
3.385	0	
3.395	4	
3.405	0	
3.415	1	
3.425	1	
3.435	0	
3.445	0	
3.455	1	
3.465	2	
3.475	3	
3.485	1	
3.495	1	
3.505	1	
3.515	0	
3.525	1	
3.535	0	
3.545	1	
3.555	1	
3.565	3	
3.575	0	
3.585	1	
3.595	0	
3.605	2	
3.615	2	
3.625	1	
3.635	2	
3.645	0	
3.655	0	
3.665	1	
3.675	0	
3.685	0	
3.695	0	
3.705	2	
3.715	3	
3.725	2	
3.735	0	
3.745	0	
3.755	2	
3.765	0	
3.775	1	
3.785	0	
3.795	2	
3.805	1	
3.815	0	
3.825	0	
3.835	0	
3.845	1	
3.855	0	
3.865	1	
3.875	1	
3.885	1	
3.895	0	
3.905	0	
3.915	1	
3.925	0	
3.935	2	
3.945	0	
3.955	0	
3.965	1	
3.975	0	
3.985	0	
3.995	1	
4.005	0	
4.015	0	
4.025	0	
4.035	0	
4.045	1	
4.055	0	
4.065	0	
4.075	1	
4.085	0	
4.095	1	
4.105	0	
4.115	0	
4.125	2	
4.135	0	
4.145	0	
4.155	0	
4.165	0	
4.175	0	
4.185	0	
4.195	0	
4.205	0	
4.215	2	
4.225	0	
4.235	0	
4.245	0	
4.255	0	
4.265	0	
4.275	0	
4.285	0	
4.295	1	
4.305	0	
4.315	1	
4.325	0	
4.335	1	
4.345	0	
4.355	1	
4.365	1	
4.375	1	
4.385	0	
4.395	0	
4.405	0	
4.415	0	
4.425	0	
4.435	0	
4.445	2	
4.455	0	
4.465	2	
4.475	0	
4.485	1	
4.495	1	
4.505	0	
4.515	0	
4.525	0	
4.535	0	
4.545	1	
4.555	1	
4.565	1	
4.575	0	
4.585	0	
4.595	0	
4.605	0	
4.615	0	
4.625	0	
4.635	0	
4.645	0	
4.655	1	
4.665	0	
4.675	1	
4.685	1	
4.695	0	
4.705	2	
4.715	3	
4.725	2	
4.735	0	
4.745	0	
4.755	1	
4.765	0	
4.775	0	
4.785	0	
4.795	1	
4.805	0	
4.815	0	
4.825	0	
4.835	1	
4.845	1	
4.855	0	
4.865	1	
4.875	2	
4.885	1	
4.895	0	
4.905	0	
4.915	1	
4.925	1	
4.935	0	
4.945	1	
4.955	0	
4.965	0	
4.975	1	
4.985	0	
4.995	0	
5.005	1	
5.015	1	
5.025	0	
5.035	0	
5.045	0	
5.055	0	
5.065	0	
5.075	0	
5.085	2	
5.095	2	
5.105	0	
5.115	0	
5.125	0	
5.135	0	
5.145	0	
5.155	1	
5.165	1	
5.175	0	
5.185	0	
5.195	0	
5.205	1	
5.215	1	
5.225	1	
5.235	1	
5.245	0	
5.255	0	
5.265	2	
5.275	0	
5.285	1	
5.295	0	
5.305	1	
5.315	0	
5.325	0	
5.335	1	
5.345	2	
5.355	1	
5.365	0	
5.375	1	
5.385	1	
5.395	0	
5.405	0	
5.415	1	
5.425	1	
5.435	1	
5.445	0	
5.455	0	
5.465	1	
5.475	0	
5.485	0	
5.495	0	
5.505	0	
5.515	0	
5.525	0	
5.535	1	
5.545	0	
5.555	1	
5.565	0	
5.575	1	
5.585	1	
5.595	0	
5.605	0	
5.615	0	
5.625	0	
5.635	0	
5.645	0	
5.655	0	
5.665	0	
5.675	2	
5.685	1	
5.695	0	
5.705	1	
5.715	0	
5.725	0	
5.735	0	
5.745	2	
5.755	1	
5.765	0	
5.775	0	
5.785	0	
5.795	0	
5.805	1	
5.815	0	
5.825	0	
5.835	0	
5.845	1	
5.855	0	
5.865	0	
5.875	0	
5.885	0	
5.895	1	
5.905	0	
5.915	1	
5.925	0	
5.935	1	
5.945	0	
5.955	0	
5.965	0	
5.975	0	
5.985	0	
5.995	0	
6.005	0	
6.015	0	
6.025	0	
6.035	0	
6.045	2	
6.055	0	
6.065	1	
6.075	0	
6.085	0	
6.095	0	
6.105	0	
6.115	0	
6.125	0	
6.135	0	
6.145	0	
6.155	0	
6.165	0	
6.175	0	
6.185	0	
6.195	0	
6.205	0	
6.215	0	
6.225	1	
6.235	0	
6.245	1	
6.255	0	
6.265	0	
6.275	0	
6.285	0	
6.295	1	
6.305	0	
6.315	1	
6.325	1	
6.335	0	
6.345	0	
6.355	0	
6.365	0	
6.375	0	
6.385	0	
6.395	1	
6.405	0	
6.415	0	
6.425	0	
6.435	0	
6.445	0	
6.455	1	
6.465	0	
6.475	0	
6.485	0	
6.495	0	
6.505	0	
6.515	1	
6.525	0	
6.535	1	
6.545	0	
6.555	1	
6.565	0	
6.575	0	
6.585	0	
6.595	0	
6.605	1	
6.615	0	
6.625	0	
6.635	0	
6.645	0	
6.655	0	
6.665	0	
6.675	0	
6.685	1	
6.695	1	
6.705	0	
6.715	0	
6.725	0	
6.735	0	
6.745	0	
6.755	1	
6.765	1	
6.775	0	
6.785	0	
6.795	0	
6.805	1	
6.815	0	
6.825	0	
6.835	0	
6.845	0	
6.855	0	
6.865	0	
6.875	0	
6.885	0	
6.895	1	
6.905	0	
6.915	0	
6.925	0	
6.935	0	
6.945	0	
6.955	0	
6.965	1	
6.975	0	
6.985	1	
6.995	0	
7.005	0	
7.015	1	
7.025	0	
7.035	0	
7.045	0	
7.055	0	
7.065	0	
7.075	0	
7.085	0	
7.095	1	
7.105	0	
7.115	1	
7.125	0	
7.135	2	
7.145	1	
7.155	0	
7.165	0	
7.175	0	
7.185	0	
7.195	0	
7.205	0	
7.215	1	
7.225	0	
7.235	0	
7.245	0	
7.255	0	
7.265	0	
7.275	0	
7.285	0	
7.295	0	
7.305	0	
7.315	0	
7.325	0	
7.335	0	
7.345	0	
7.355	0	
7.365	0	
7.375	0	
7.385	1	
7.395	0	
7.405	0	
7.415	0	
7.425	1	
7.435	0	
7.445	0	
7.455	1	
7.465	0	
7.475	0	
7.485	0	
7.495	0	
7.505	0	
7.515	1	
7.525	0	
7.535	0	
7.545	0	
7.555	0	
7.565	1	
7.575	0	
7.585	0	
7.595	0	
7.605	0	
7.615	0	
7.625	0	
7.635	0	
7.645	0	
7.655	0	
7.665	0	
7.675	0	
7.685	0	
7.695	0	
7.705	0	
7.715	0	
7.725	0	
7.735	0	
7.745	0	
7.755	0	
7.765	0	
7.775	0	
7.785	0	
7.795	1	
7.805	0	
7.815	0	
7.825	0	
7.835	0	
7.845	0	
7.855	0	
7.865	0	
7.875	0	
7.885	0	
7.895	0	
7.905	2	
7.915	0	
7.925	0	
7.935	0	
7.945	0	
7.955	1	
7.965	0	
7.975	0	
7.985	0	
7.995	0	
8.005	0	
8.015	0	
8.025	0	
8.035	0	
8.045	0	
8.055	0	
8.065	0	
8.075	0	
8.085	1	
8.095	0	
8.105	0	
8.115	1	
8.125	0	
8.135	0	
8.145	0	
8.155	0	
8.165	0	
8.175	0	
8.185	0	
8.195	0	
8.205	0	
8.215	0	
8.225	0	
8.235	0	
8.245	0	
8.255	0	
8.265	0	
8.275	0	
8.285	0	
8.295	0	
8.305	0	
8.315	0	
8.325	0	
8.335	0	
8.345	0	
8.355	0	
8.365	0	
8.375	0	
8.385	0	
8.395	0	
8.405	0	
8.415	1	
8.425	0	
8.435	1	
8.445	0	
8.455	0	
8.465	0	
8.475	0	
8.485	0	
8.495	0	
8.505	1	
8.515	0	
8.525	0	
8.535	0	
8.545	0	
8.555	1	
8.565	0	
8.575	0	
8.585	0	
8.595	0	
8.605	0	
8.615	0	
8.625	0	
8.635	0	
8.645	0	
8.655	0	
8.665	0	
8.675	0	
8.685	0	
8.695	0	
8.705	0	
8.715	0	
8.725	0	
8.735	0	
8.745	0	
8.755	0	
8.765	0	
8.775	0	
8.785	0	
8.795	0	
8.805	0	
8.815	0	
8.825	1	
8.835	0	
8.845	0	
8.855	0	
8.865	0	
8.875	0	
8.885	0	
8.895	0	
8.905	0	
8.915	0	
8.925	0	
8.935	0	
8.945	0	
8.955	0	
8.965	0	
8.975	0	
8.985	0	
8.995	0	
9.005	0	
9.015	0	
9.025	0	
9.035	0	
9.045	0	
9.055	0	
9.065	0	
9.075	1	
9.085	1	
9.095	0	
9.105	0	
9.115	0	
9.125	0	
9.135	0	
9.145	0	
9.155	0	
9.165	1	
9.175	0	
9.185	0	
9.195	0	
9.205	0	
9.215	0	
9.225	0	
9.235	0	
9.245	0	
9.255	0	
9.265	0	
9.275	1	
9.285	0	
9.295	0	
9.305	0	
9.315	0	
9.325	0	
9.335	0	
9.345	0	
9.355	0	
9.365	0	
9.375	0	
9.385	0	
9.395	0	
9.405	0	
9.415	0	
9.425	0	
9.435	0	
9.445	0	
9.455	0	
9.465	0	
9.475	0	
9.485	0	
9.495	0	
9.505	0	
9.515	0	
9.525	0	
9.535	0	
9.545	0	
9.555	0	
9.565	0	
9.575	0	
9.585	0	
9.595	0	
9.605	0	
9.615	0	
9.625	0	
9.635	0	
9.645	0	
9.655	0	
9.665	0	
9.675	0	
9.685	0	
9.695	0	
9.705	0	
9.715	0	
9.725	0	
9.735	1	
9.745	0	
9.755	0	
9.765	0	
9.775	0	
9.785	0	
9.795	0	
9.805	0	
9.815	0	
9.825	0	
9.835	0	
9.845	0	
9.855	0	
9.865	0	
9.875	0	
9.885	0	
9.895	0	
9.905	0	
9.915	0	
9.925	0	
9.935	0	
9.945	0	
9.955	0	
9.965	0	
9.975	0	
9.985	0	
9.995	0	
