Time [ns] - histogram	Counts - histogram
-23	0
-22.5	0
-22	0
-21.5	0
-21	0
-20.5	0
-20	0
-19.5	0
-19	0
-18.5	0
-18	1
-17.5	1
-17	0
-16.5	0
-16	2
-15.5	3
-15	2
-14.5	6
-14	7
-13.5	16
-13	21
-12.5	29
-12	39
-11.5	62
-11	51
-10.5	89
-10	111
-9.5	132
-9	160
-8.5	195
-8	154
-7.5	156
-7	160
-6.5	133
-6	111
-5.5	104
-5	72
-4.5	71
-4	45
-3.5	36
-3	19
-2.5	21
-2	8
-1.5	2
-1	6
-0.5	0
0	0
0.5	1
1	1
1.5	0
2	0
2.5	0
3	1
3.5	0
4	0
4.5	0
5	0
5.5	1
6	0
6.5	0
7	0
7.5	0
8	0
8.5	0
9	0
9.5	0
10	0
10.5	0
11	0
11.5	0
12	0
12.5	0
13	0
