	time	counts
0	0.015	36
1	0.025	167
2	0.035	147
3	0.045	104
4	0.055	63
5	0.065	45
6	0.075	36
7	0.085	23
8	0.095	10
9	0.105	11
10	0.115	18
11	0.125	5
12	0.135	6
13	0.145	5
14	0.155	5
15	0.165	2
16	0.175	2
17	0.185	1
18	0.195	0
19	0.205	0
20	0.215	1
21	0.225	0
22	0.235	0
23	0.245	2
24	0.255	0
25	0.265	0
26	0.275	0
27	0.285	0
28	0.295	0
29	0.305	1
30	0.315	0
31	0.325	0
32	0.335	1
33	0.345	0
34	0.355	0
35	0.365	0
36	0.375	0
37	0.385	0
38	0.395	0
39	0.405	0
40	0.415	0
41	0.425	0
42	0.435	0
43	0.445	0
44	0.455	0
45	0.465	0
46	0.475	0
47	0.485	1
48	0.495	0
49	0.505	0
50	0.515	0
51	0.525	0
52	0.535	0
53	0.545	0
54	0.555	0
55	0.565	0
56	0.575	0
57	0.585	0
58	0.595	0
59	0.605	0
60	0.615	0
61	0.625	0
62	0.635	0
63	0.645	0
64	0.655	0
65	0.665	0
66	0.675	0
67	0.685	0
68	0.695	0
69	0.705	0
70	0.715	0
71	0.725	0
72	0.735	0
73	0.745	0
74	0.755	0
75	0.765	0
76	0.775	0
77	0.785	0
78	0.795	0
79	0.805	0
80	0.815	0
81	0.825	0
82	0.835	0
83	0.845	0
84	0.855	0
85	0.865	0
86	0.875	0
87	0.885	0
88	0.895	0
89	0.905	2
90	0.915	0
91	0.925	0
92	0.935	0
93	0.945	0
94	0.955	0
95	0.965	0
96	0.975	0
97	0.985	0
98	0.995	0
99	1.005	0
100	1.015	0
101	1.025	0
102	1.035	0
103	1.045	0
104	1.055	0
105	1.065	1
106	1.075	1
107	1.085	0
108	1.095	0
109	1.105	0
110	1.115	0
111	1.125	0
112	1.135	0
113	1.145	0
114	1.155	0
115	1.165	0
116	1.175	0
117	1.185	0
118	1.195	0
119	1.205	0
120	1.215	0
121	1.225	0
122	1.235	0
123	1.245	0
124	1.255	0
125	1.265	0
126	1.275	0
127	1.285	0
128	1.295	0
129	1.305	0
130	1.315	0
131	1.325	0
132	1.335	0
133	1.345	0
134	1.355	0
135	1.365	0
136	1.375	1
137	1.385	0
138	1.395	0
139	1.405	0
140	1.415	0
141	1.425	0
142	1.435	0
143	1.445	0
144	1.455	0
145	1.465	0
146	1.475	0
147	1.485	0
148	1.495	0
149	1.505	0
150	1.515	0
