Meting[-]	Massa[Kg]	Frequentie-piek1[Hz]	Spanning-piek1[V]	Frequentie-piek2[Hz]	Spanning-piek2[V]
a1	0.000000	1.35	2.209E-5	2.55	3.211E-5
a2	0.000000	1.25	2.900E-5	2.55	1.584E-5
a3	0.000000	1.30	2.947E-5	2.55	2.807E-5
b1	0.136445	0.00	0.000000	2.55	2.991E-5
b2	0.136445	1.25	1.557E-5	2.55	2.635E-5
b3	0.136445	1.30	2.402E-5	2.55	3.005E-5
c1	0.272284	1.25	3.936E-5	2.55	4.818E-5
c2	0.272284	1.25	5.378E-5	2.55	3.789E-5
c3	0.272284	1.25	6.310E-5	2.55	4.930E-5
d1	0.408588	1.30	4.120E-5	2.55	5.959E-5
d2	0.408588	1.25	3.679E-5	2.55	4.719E-5
d3	0.408588	1.25	4.325E-5	2.55	4.679E-5
e1	0.543688	1.25	8.584E-5	2.55	5.854E-5
e2	0.543688	1.25	8.773E-5	2.55	6.654E-5
e3	0.543688	1.25	9.333E-5	2.55	5.878E-5
f1	0.678948	1.30	10.52E-5	2.55	7.059E-5
f2	0.678948	1.25	10.86E-5	2.55	8.085E-5
f3	0.678948	1.25	10.39E-5	2.55	8.884E-5
g1	0.813450	1.25	13.00E-5	2.55	10.29E-5
g2	0.813450	1.25	14.64E-5	2.55	7.937E-5
g3	0.813450	1.25	11.13E-5	2.55	11.96E-5
h1	0.949802	1.25	14.36E-5	2.50	7.414E-5
h2	0.949802	1.25	14.44E-5	2.50	8.008E-5
h3	0.949802	1.25	11.67E-5	2.55	12.14E-5
