Time - Voltage	Piezo spanning  (Volt) - Voltage	
0	-0,706635	
0,001	-0,543671	
0,002	-0,348969	
0,003	-0,16861	
0,004	-0,0657654	
0,005	0,0956726	
0,006	0,162811	
0,007	0,113678	
0,008	0,115051	
0,009	0,0671387	
0,01	-0,123901	
0,011	-0,260162	
0,012	-0,470581	
0,013	-0,653381	
0,014	-0,758209	
0,015	-0,917664	
0,016	-0,984344	
0,017	-0,944519	
0,018	-0,978546	
0,019	-0,890656	
0,02	-0,691681	
0,021	-0,554047	
0,022	-0,354156	
0,023	-0,174713	
0,024	-0,0514221	
0,025	0,0953674	
0,026	0,15625	
0,027	0,108795	
0,028	0,116119	
0,029	0,0700378	
0,03	-0,117493	
0,031	-0,26062	
0,032	-0,462494	
0,033	-0,651245	
0,034	-0,755768	
0,035	-0,914001	
0,036	-0,982971	
0,037	-0,943909	
0,038	-0,939178	
0,039	-0,88028	
0,04	-0,692139	
0,041	-0,550385	
0,042	-0,365753	
0,043	-0,164795	
0,044	-0,0646973	
0,045	0,0939941	
0,046	0,158081	
0,047	0,116425	
0,048	0,121307	
0,049	0,059967	
0,05	-0,119934	
0,051	-0,270386	
0,052	-0,469818	
0,053	-0,644073	
0,054	-0,767975	
0,055	-0,919189	
0,056	-0,986938	
0,057	-0,936279	
0,058	-0,885468	
0,059	-0,892029	
0,06	-0,696259	
0,061	-0,552521	
0,062	-0,351105	
0,063	-0,170135	
0,064	-0,0733948	
0,065	0,0978088	
0,066	0,16983	
0,067	0,128174	
0,068	0,126495	
0,069	0,0718689	
0,07	-0,128174	
0,071	-0,272522	
0,072	-0,455627	
0,073	-0,637207	
0,074	-0,762024	
0,075	-0,929108	
0,076	-0,987549	
0,077	-0,934753	
0,078	-0,933533	
0,079	-0,892181	
0,08	-0,703278	
0,081	-0,549469	
0,082	-0,366058	
0,083	-0,171661	
0,084	-0,0689697	
0,085	0,0971985	
0,086	0,163116	
0,087	0,115051	
0,088	0,110474	
0,089	0,0616455	
0,09	-0,117798	
0,091	-0,265198	
0,092	-0,458984	
0,093	-0,650635	
0,094	-0,775909	
0,095	-0,914764	
0,096	-0,982056	
0,097	-0,932159	
0,098	-0,992889	
0,099	-0,890045	
0,1	-0,696106	
0,101	-0,5513	
0,102	-0,350342	
0,103	-0,171661	
0,104	-0,0653076	
0,105	0,0944519	
0,106	0,165558	
0,107	0,111542	
0,108	0,109558	
0,109	0,0674438	
0,11	-0,124969	
0,111	-0,269165	
0,112	-0,468292	
0,113	-0,64682	
0,114	-0,762787	
0,115	-0,915833	
0,116	-0,992279	
0,117	-0,943756	
0,118	-0,935822	
0,119	-0,890656	
0,12	-0,705109	
0,121	-0,557556	
0,122	-0,357971	
0,123	-0,1651	
0,124	-0,0509644	
0,125	0,0923157	
0,126	0,162506	
0,127	0,114288	
0,128	0,123901	
0,129	0,0743103	
0,13	-0,128174	
0,131	-0,271454	
0,132	-0,45578	
0,133	-0,644073	
0,134	-0,757599	
0,135	-0,915222	
0,136	-0,996552	
0,137	-0,941772	
0,138	-0,873566	
0,139	-0,885925	
0,14	-0,703125	
0,141	-0,55191	
0,142	-0,354767	
0,143	-0,16922	
0,144	-0,0640869	
0,145	0,0888062	
0,146	0,173492	
0,147	0,114594	
0,148	0,108643	
0,149	0,0671387	
0,15	-0,124664	
0,151	-0,261078	
0,152	-0,454559	
0,153	-0,650024	
0,154	-0,76355	
0,155	-0,913696	
0,156	-0,988159	
0,157	-0,933228	
0,158	-0,939789	
0,159	-0,901489	
0,16	-0,695801	
0,161	-0,545197	
0,162	-0,353394	
0,163	-0,174561	
0,164	-0,0691223	
0,165	0,0930786	
0,166	0,167389	
0,167	0,119629	
0,168	0,116425	
0,169	0,0727844	
0,17	-0,114899	
0,171	-0,256042	
0,172	-0,461884	
0,173	-0,646973	
0,174	-0,755768	
0,175	-0,912476	
0,176	-0,993958	
0,177	-0,940247	
0,178	-0,913239	
0,179	-0,890961	
0,18	-0,682831	
0,181	-0,552063	
0,182	-0,36438	
0,183	-0,172272	
0,184	-0,0444031	
0,185	0,100861	
0,186	0,168457	
0,187	0,10849	
0,188	0,1091	
0,189	0,0639343	
0,19	-0,108795	
0,191	-0,259705	
0,192	-0,466003	
0,193	-0,652771	
0,194	-0,764618	
0,195	-0,926056	
0,196	-0,990448	
0,197	-0,937195	
0,198	-0,927582	
0,199	-0,888672	
0,2	-0,693207	
0,201	-0,561066	
0,202	-0,354004	
0,203	-0,161743	
0,204	-0,0708008	
0,205	0,0971985	
0,206	0,169067	
0,207	0,11673	
0,208	0,11734	
0,209	0,0669861	
0,21	-0,110474	
0,211	-0,267792	
0,212	-0,46402	
0,213	-0,650787	
0,214	-0,773315	
0,215	-0,935822	
0,216	-0,992279	
0,217	-0,926666	
0,218	-0,957489	
0,219	-0,884247	
0,22	-0,704956	
0,221	-0,562592	
0,222	-0,347748	
0,223	-0,166321	
0,224	-0,0675964	
0,225	0,0950623	
0,226	0,163269	
0,227	0,114441	
0,228	0,113831	
0,229	0,0585937	
0,23	-0,111694	
0,231	-0,263519	
0,232	-0,467682	
0,233	-0,65918	
0,234	-0,775299	
0,235	-0,92041	
0,236	-0,973663	
0,237	-0,926514	
0,238	-0,939331	
0,239	-0,886383	
0,24	-0,698242	
0,241	-0,554199	
0,242	-0,358276	
0,243	-0,174561	
0,244	-0,0723267	
0,245	0,104065	
0,246	0,164642	
0,247	0,118408	
0,248	0,110626	
0,249	0,0645447	
0,25	-0,10849	
0,251	-0,264435	
0,252	-0,463409	
0,253	-0,665436	
0,254	-0,771484	
0,255	-0,914154	
