Time - Voltage	Piezo spanning  (Volt) - Voltage	
0	0,108948	
0,001	0,106354	
0,002	0,104218	
0,003	0,102692	
0,004	0,102081	
0,005	0,10025	
0,006	0,0990295	
0,007	0,098114	
0,008	0,09552	
0,009	0,0930786	
0,01	0,0912476	
0,011	0,0898743	
0,012	0,0878906	
0,013	0,0871277	
0,014	0,0857544	
0,015	0,0842285	
0,016	0,0819397	
0,017	0,0796509	
0,018	0,0788879	
0,019	0,0770569	
0,02	0,0758362	
0,021	0,0741577	
0,022	0,0697327	
0,023	0,0691223	
0,024	0,0680542	
0,025	0,0662231	
0,026	0,0653076	
0,027	0,0636292	
0,028	0,0624084	
0,029	0,0598145	
0,03	0,0578308	
0,031	0,0558472	
0,032	0,0538635	
0,033	0,0538635	
0,034	0,0514221	
0,035	0,0498962	
0,036	0,0462341	
0,037	0,0450134	
0,038	0,0442505	
0,039	0,0421143	
0,04	0,0415039	
0,041	0,0392151	
0,042	0,0366211	
0,043	0,0341797	
0,044	0,032959	
0,045	0,0314331	
0,046	0,0309753	
0,047	0,0291443	
0,048	0,0267029	
0,049	0,0241089	
0,05	0,0231934	
0,051	0,0213623	
0,052	0,0190735	
0,053	0,0187683	
0,054	0,0163269	
0,055	0,0141907	
0,056	0,0117493	
0,057	0,00991821	
0,058	0,0088501	
0,059	0,00686646	
0,06	0,00595093	
0,061	0,00350952	
0,062	0,0012207	
0,063	-0,000915527	
0,064	-0,00213623	
0,065	-0,00411987	
0,066	-0,00411987	
0,067	-0,00640869	
0,068	-0,00991821	
0,069	-0,0105286	
0,07	-0,0112915	
0,071	-0,0138855	
0,072	-0,0161743	
0,073	-0,017395	
0,074	-0,0193787	
0,075	-0,020752	
0,076	-0,0233459	
0,077	-0,0254822	
0,078	-0,0260925	
0,079	-0,0274658	
0,08	-0,0291443	
0,081	-0,0318909	
0,082	-0,0346375	
0,083	-0,035553	
0,084	-0,038147	
0,085	-0,0398254	
0,086	-0,0405884	
0,087	-0,0419617	
0,088	-0,043335	
0,089	-0,0460815	
0,09	-0,0473022	
0,091	-0,0492859	
0,092	-0,0514221	
0,093	-0,0523376	
0,094	-0,0535583	
0,095	-0,0563049	
0,096	-0,0582886	
0,097	-0,0605774	
0,098	-0,0621033	
0,099	-0,0634766	
0,1	-0,0646973	
0,101	-0,0671387	
0,102	-0,0679016	
0,103	-0,0718689	
0,104	-0,072937	
0,105	-0,0743103	
0,106	-0,0752258	
0,107	-0,0770569	
0,108	-0,0767517	
0,109	-0,0796509	
0,11	-0,0823975	
0,111	-0,0843811	
0,112	-0,085144	
0,113	-0,0866699	
0,114	-0,0888062	
0,115	-0,0901794	
0,116	-0,0926208	
0,117	-0,0942993	
0,118	-0,0968933	
0,119	-0,0970459	
0,12	-0,0984192	
0,121	-0,101624	
0,122	-0,102692	
0,123	-0,105743	
0,124	-0,105438	
0,125	-0,107727	
0,126	-0,108643	
0,127	-0,110321	
0,128	-0,111847	
0,129	-0,114136	
0,13	-0,116425	
0,131	-0,117035	
0,132	-0,118866	
0,133	-0,120087	
0,134	-0,122833	
0,135	-0,123138	
0,136	-0,125732	
0,137	-0,127258	
0,138	-0,128937	
0,139	-0,130157	
0,14	-0,131989	
0,141	-0,133362	
0,142	-0,136414	
0,143	-0,137634	
0,144	-0,138092	
0,145	-0,139618	
0,146	-0,141296	
0,147	-0,142822	
0,148	-0,144958	
0,149	-0,146332	
0,15	-0,147552	
0,151	-0,149384	
0,152	-0,150299	
0,153	-0,151367	
0,154	-0,15274	
0,155	-0,155029	
0,156	-0,157318	
0,157	-0,158386	
0,158	-0,159454	
0,159	-0,161285	
0,16	-0,162354	
0,161	-0,164032	
0,162	-0,164795	
0,163	-0,167847	
0,164	-0,168457	
0,165	-0,170593	
0,166	-0,170441	
0,167	-0,171661	
0,168	-0,174408	
0,169	-0,176392	
0,17	-0,176697	
0,171	-0,178223	
0,172	-0,179749	
0,173	-0,180359	
0,174	-0,181885	
0,175	-0,183868	
0,176	-0,185547	
0,177	-0,187531	
0,178	-0,187836	
0,179	-0,188904	
0,18	-0,189972	
0,181	-0,192108	
0,182	-0,194397	
0,183	-0,194397	
0,184	-0,196381	
