Time - Voltage_0	Piezo spanning  (Volt) - Voltage_0	
0	-0,0189209	
0,001	-0,0172424	
0,002	-0,0163269	
0,003	-0,0154114	
0,004	-0,0146484	
0,005	-0,0132751	
0,006	-0,0106812	
0,007	-0,00915527	
0,008	-0,00762939	
0,009	-0,00640869	
0,01	-0,0050354	
0,011	-0,00411987	
0,012	-0,00228882	
0,013	0,000610352	
0,014	0,00106812	
0,015	0,00289917	
0,016	0,00411987	
0,017	0,00488281	
0,018	0,0062561	
0,019	0,00793457	
0,02	0,00869751	
0,021	0,0109863	
0,022	0,0123596	
0,023	0,0128174	
0,024	0,0135803	
0,025	0,0151062	
0,026	0,0175476	
0,027	0,0187683	
0,028	0,0201416	
0,029	0,0215149	
0,03	0,0234985	
0,031	0,0238037	
0,032	0,0253296	
0,033	0,0271606	
0,034	0,0288391	
0,035	0,0305176	
0,036	0,0314331	
0,037	0,032959	
0,038	0,0340271	
0,039	0,0358582	
0,04	0,0367737	
0,041	0,0387573	
0,042	0,0389099	
0,043	0,0404358	
0,044	0,0413513	
0,045	0,0427246	
0,046	0,0448608	
0,047	0,045929	
0,048	0,0476074	
0,049	0,0486755	
0,05	0,0498962	
0,051	0,0508118	
0,052	0,0520325	
0,053	0,0532532	
0,054	0,0550842	
0,055	0,057373	
0,056	0,057373	
0,057	0,0588989	
0,058	0,0596619	
0,059	0,0610352	
0,06	0,062561	
0,061	0,0637817	
0,062	0,0650024	
0,063	0,0656128	
0,064	0,065918	
0,065	0,0671387	
0,066	0,0692749	
0,067	0,070343	
0,068	0,0718689	
0,069	0,0727844	
0,07	0,0738525	
0,071	0,0741577	
0,072	0,0753784	
0,073	0,0767517	
0,074	0,078125	
0,075	0,0802612	
0,076	0,0799561	
0,077	0,0811768	
0,078	0,0819397	
0,079	0,0830078	
0,08	0,0845337	
0,081	0,085907	
0,082	0,0857544	
0,083	0,0868225	
0,084	0,0866699	
0,085	0,0883484	
0,086	0,0898743	
0,087	0,091095	
0,088	0,0918579	
0,089	0,0926208	
0,09	0,0930786	
0,091	0,0935364	
0,092	0,0938416	
0,093	0,0953674	
0,094	0,0967407	
0,095	0,098114	
0,096	0,0978088	
0,097	0,0985718	
0,098	0,0991821	
0,099	0,0993347	
0,1	0,100708	
0,101	0,101471	
0,102	0,101929	
0,103	0,102539	
0,104	0,102539	
0,105	0,102997	
0,106	0,104523	
0,107	0,105133	
0,108	0,106201	
0,109	0,106201	
0,11	0,107117	
0,111	0,106506	
0,112	0,107422	
0,113	0,107422	
0,114	0,108185	
0,115	0,109863	
0,116	0,109406	
0,117	0,109711	
0,118	0,109863	
0,119	0,110474	
0,12	0,111084	
0,121	0,111694	
0,122	0,112	
0,123	0,111694	
0,124	0,111389	
0,125	0,111694	
0,126	0,11322	
0,127	0,113068	
0,128	0,11322	
0,129	0,113525	
0,13	0,113525	
0,131	0,113525	
0,132	0,113831	
0,133	0,113525	
0,134	0,114594	
0,135	0,114746	
0,136	0,114288	
0,137	0,114288	
0,138	0,114441	
0,139	0,114746	
0,14	0,114441	
0,141	0,114594	
0,142	0,114746	
0,143	0,114136	
0,144	0,11322	
0,145	0,113373	
0,146	0,114136	
0,147	0,114136	
0,148	0,114136	
0,149	0,113983	
0,15	0,11322	
0,151	0,112915	
0,152	0,112762	
0,153	0,112305	
0,154	0,113068	
0,155	0,113678	
0,156	0,112152	
0,157	0,111389	
0,158	0,111389	
0,159	0,111389	
0,16	0,110626	
0,161	0,110779	
0,162	0,110321	
0,163	0,108948	
0,164	0,108032	
0,165	0,108032	
0,166	0,10849	
0,167	0,108032	
0,168	0,10788	
0,169	0,107574	
0,17	0,106506	
0,171	0,105133	
0,172	0,104828	
0,173	0,104065	
0,174	0,104065	
0,175	0,10437	
0,176	0,103302	
0,177	0,102386	
0,178	0,101624	
0,179	0,100708	
0,18	0,100403	
0,181	0,10025	
0,182	0,0991821	
0,183	0,0979614	
0,184	0,0971985	
0,185	0,0961304	
0,186	0,0953674	
0,187	0,09552	
0,188	0,0950623	
0,189	0,0935364	
0,19	0,0927734	
0,191	0,0918579	
0,192	0,0904846	
0,193	0,0895691	
0,194	0,0895691	
0,195	0,0895691	
0,196	0,0874329	
0,197	0,0863647	
0,198	0,0857544	
0,199	0,0849915	
0,2	0,0834656	
0,201	0,0831604	
0,202	0,0816345	
0,203	0,0805664	
0,204	0,0788879	
0,205	0,0782776	
0,206	0,0775146	
0,207	0,0758362	
0,208	0,0756836	
0,209	0,0744629	
0,21	0,0730896	
0,211	0,0715637	
0,212	0,0704956	
0,213	0,0695801	
0,214	0,0689697	
0,215	0,0674438	
0,216	0,0668335	
0,217	0,0654602	
0,218	0,0640869	
0,219	0,063324	
0,22	0,0619507	
0,221	0,0610352	
0,222	0,0592041	
0,223	0,0576782	
0,224	0,0564575	
0,225	0,055542	
0,226	0,0543213	
0,227	0,0537109	
0,228	0,0520325	
0,229	0,0505066	
0,23	0,0498962	
0,231	0,0476074	
0,232	0,0460815	
0,233	0,0448608	
0,234	0,0444031	
0,235	0,0430298	
0,236	0,0413513	
0,237	0,039978	
0,238	0,0384521	
0,239	0,0379944	
0,24	0,0363159	
0,241	0,035553	
0,242	0,0335693	
0,243	0,0311279	
0,244	0,0296021	
0,245	0,0294495	
0,246	0,0280762	
0,247	0,0265503	
0,248	0,0253296	
0,249	0,0238037	
0,25	0,0222778	
0,251	0,0201416	
0,252	0,0187683	
0,253	0,0177002	
0,254	0,0172424	
0,255	0,0157166	
0,256	0,0140381	
0,257	0,0123596	
0,258	0,010376	
0,259	0,00991821	
0,26	0,00900269	
0,261	0,00732422	
0,262	0,00534058	
0,263	0,00366211	
0,264	0,00198364	
0,265	0,000762939	
0,266	-0,000305176	
0,267	-0,00137329	
0,268	-0,00244141	
0,269	-0,00411987	
0,27	-0,00549316	
0,271	-0,00747681	
0,272	-0,0100708	
