Time - Voltage	Piezo spanning  (Volt) - Voltage	
0	0,27832	
0,001	0,279694	
0,002	0,279541	
0,003	0,279694	
0,004	0,279236	
0,005	0,278778	
0,006	0,278168	
0,007	0,279388	
0,008	0,278778	
0,009	0,277557	
0,01	0,276337	
0,011	0,274353	
0,012	0,274811	
0,013	0,272675	
0,014	0,271912	
0,015	0,270691	
0,016	0,269012	
0,017	0,267639	
0,018	0,265198	
0,019	0,262756	
0,02	0,260925	
0,021	0,259094	
0,022	0,257111	
0,023	0,254517	
0,024	0,25177	
0,025	0,248108	
0,026	0,245361	
0,027	0,242767	
0,028	0,240173	
0,029	0,236511	
0,03	0,233765	
0,031	0,228577	
0,032	0,226135	
0,033	0,223236	
0,034	0,219269	
0,035	0,21637	
0,036	0,211334	
0,037	0,20813	
0,038	0,202484	
0,039	0,198517	
0,04	0,193939	
0,041	0,189972	
0,042	0,183868	
0,043	0,181122	
0,044	0,174866	
0,045	0,169983	
0,046	0,165253	
0,047	0,161438	
0,048	0,15625	
0,049	0,150909	
0,05	0,144653	
0,051	0,138855	
0,052	0,13382	
0,053	0,128632	
0,054	0,124054	
0,055	0,118866	
0,056	0,112915	
0,057	0,106964	
0,058	0,101013	
0,059	0,0946045	
0,06	0,0900269	
0,061	0,0839233	
0,062	0,0782776	
0,063	0,0721741	
0,064	0,065918	
0,065	0,0596619	
0,066	0,0526428	
0,067	0,0480652	
0,068	0,0410461	
0,069	0,035553	
0,07	0,0288391	
0,071	0,0204468	
0,072	0,0160217	
0,073	0,0108337	
0,074	0,00457764	
0,075	-0,00106812	
0,076	-0,00793457	
0,077	-0,0138855	
0,078	-0,0204468	
0,079	-0,0271606	
0,08	-0,0332642	
0,081	-0,0379944	
0,082	-0,0448608	
0,083	-0,0502014	
0,084	-0,0570679	
0,085	-0,0645447	
0,086	-0,070343	
0,087	-0,0749207	
0,088	-0,0810242	
0,089	-0,0872803	
0,09	-0,0933838	
0,091	-0,100555	
0,092	-0,10498	
0,093	-0,111542	
0,094	-0,117035	
0,095	-0,123138	
0,096	-0,127258	
0,097	-0,133209	
0,098	-0,139771	
0,099	-0,144348	
0,1	-0,149536	
0,101	-0,15564	
0,102	-0,158844	
0,103	-0,165253	
0,104	-0,169983	
0,105	-0,175018	
0,106	-0,180511	
0,107	-0,185242	
0,108	-0,189209	
0,109	-0,193787	
0,11	-0,198975	
0,111	-0,203552	
0,112	-0,207214	
0,113	-0,211792	
0,114	-0,215759	
0,115	-0,219269	
0,116	-0,223083	
0,117	-0,227509	
0,118	-0,231171	
0,119	-0,234833	
0,12	-0,239105	
0,121	-0,241089	
0,122	-0,244293	
0,123	-0,247192	
0,124	-0,251312	
0,125	-0,254669	
0,126	-0,256958	
0,127	-0,260162	
0,128	-0,261841	
0,129	-0,26413	
0,13	-0,266418	
0,131	-0,270081	
0,132	-0,270996	
0,133	-0,273437	
0,134	-0,275269	
0,135	-0,275269	
0,136	-0,276947	
0,137	-0,279236	
0,138	-0,280609	
0,139	-0,281982	
0,14	-0,283051	
0,141	-0,283661	
0,142	-0,283051	
0,143	-0,283508	
0,144	-0,285034	
0,145	-0,286255	
0,146	-0,285797	
0,147	-0,285034	
0,148	-0,285339	
0,149	-0,285187	
0,15	-0,28595	
0,151	-0,285187	
0,152	-0,282898	
0,153	-0,282745	
0,154	-0,281372	
0,155	-0,279236	
0,156	-0,279236	
0,157	-0,27832	
0,158	-0,2771	
0,159	-0,274658	
0,16	-0,274048	
0,161	-0,270691	
0,162	-0,26886	
0,163	-0,266724	
0,164	-0,264893	
0,165	-0,263519	
0,166	-0,26062	
0,167	-0,258331	
0,168	-0,253754	
0,169	-0,251465	
0,17	-0,249634	
0,171	-0,246429	
0,172	-0,24231	
0,173	-0,238953	
0,174	-0,234833	
0,175	-0,230865	
0,176	-0,227661	
0,177	-0,224152	
0,178	-0,220947	
0,179	-0,216675	
0,18	-0,21347	
0,181	-0,207825	
0,182	-0,203857	
0,183	-0,19928	
0,184	-0,194855	
0,185	-0,190735	
0,186	-0,186005	
0,187	-0,180817	
0,188	-0,175629	
0,189	-0,170593	
0,19	-0,166931	
0,191	-0,162201	
0,192	-0,155792	
0,193	-0,15152	
0,194	-0,145111	
0,195	-0,13916	
0,196	-0,133514	
0,197	-0,129242	
0,198	-0,123749	
0,199	-0,11734	
0,2	-0,11261	
0,201	-0,105591	
0,202	-0,0999451	
0,203	-0,093689	
0,204	-0,0880432	
0,205	-0,0836182	
0,206	-0,0769043	
0,207	-0,0720215	
0,208	-0,0640869	
0,209	-0,0579834	
0,21	-0,0527954	
0,211	-0,0469971	
0,212	-0,0396729	
0,213	-0,0343323	
0,214	-0,0282288	
0,215	-0,0213623	
0,216	-0,015564	
0,217	-0,00930786	
0,218	-0,00244141	
0,219	0,00244141	
0,22	0,00854492	
0,221	0,0160217	
0,222	0,0221252	
0,223	0,0285339	
0,224	0,0332642	
0,225	0,0396729	
0,226	0,0465393	
0,227	0,0518799	
0,228	0,0592041	
0,229	0,0650024	
0,23	0,0701904	
0,231	0,0759888	
0,232	0,0816345	
0,233	0,0874329	
0,234	0,0939941	
0,235	0,100555	
0,236	0,105591	
0,237	0,111847	
0,238	0,116425	
0,239	0,12207	
0,24	0,128326	
0,241	0,133667	
0,242	0,139008	
0,243	0,144348	
0,244	0,148926	
0,245	0,153961	
0,246	0,159454	
0,247	0,1651	
0,248	0,170135	
0,249	0,175018	
0,25	0,179138	
0,251	0,183105	
0,252	0,188141	
0,253	0,193024	
0,254	0,197144	
0,255	0,202484	
0,256	0,206146	
0,257	0,209961	
0,258	0,214081	
0,259	0,217133	
0,26	0,221252	
0,261	0,22522	
0,262	0,22934	
0,263	0,233459	
0,264	0,236511	
0,265	0,239105	
0,266	0,242004	
0,267	0,245209	
0,268	0,24826	
0,269	0,251617	
0,27	0,254669	
0,271	0,254364	
0,272	0,258331	
0,273	0,26062	
0,274	0,263214	
0,275	0,265503	
0,276	0,267029	
0,277	0,26947	
0,278	0,270996	
0,279	0,271912	
0,28	0,272064	
0,281	0,274811	
0,282	0,275421	
0,283	0,2771	
0,284	0,277405	
0,285	0,278015	
0,286	0,278168	
0,287	0,277863	
0,288	0,279236	
0,289	0,279694	
0,29	0,278625	
0,291	0,278473	
0,292	0,278168	
0,293	0,277557	
0,294	0,277405	
0,295	0,278015	
0,296	0,277252	
0,297	0,275726	
0,298	0,273895	
0,299	0,273132	
0,3	0,270386	
0,301	0,271149	
0,302	0,268555	
0,303	0,267029	
0,304	0,265198	
0,305	0,261841	
0,306	0,259705	
0,307	0,257568	
0,308	0,256195	
0,309	0,252686	
0,31	0,250092	
0,311	0,24765	
0,312	0,243988	
0,313	0,242462	
0,314	0,238495	
0,315	0,236816	
0,316	0,233307	
0,317	0,229797	
0,318	0,225372	
0,319	0,221252	
0,32	0,217896	
0,321	0,213776	
0,322	0,210114	
0,323	0,205994	
0,324	0,202026	
0,325	0,196838	
0,326	0,192566	
0,327	0,188446	
0,328	0,183868	
0,329	0,179138	
0,33	0,173645	
0,331	0,167999	
0,332	0,163879	
0,333	0,159454	
0,334	0,155029	
0,335	0,149536	
0,336	0,14389	
0,337	0,139465	
0,338	0,132446	
0,339	0,127106	
0,34	0,12146	
0,341	0,116577	
0,342	0,111389	
0,343	0,105896	
0,344	0,098877	
0,345	0,0920105	
0,346	0,0868225	
0,347	0,0822449	
0,348	0,0758362	
0,349	0,0701904	
0,35	0,0646973	
0,351	0,0561523	
0,352	0,0517273	
0,353	0,0447083	
0,354	0,0392151	
0,355	0,0338745	
0,356	0,0280762	
0,357	0,0212097	
0,358	0,0140381	
0,359	0,00854492	
0,36	0,00183105	
0,361	-0,00335693	
0,362	-0,00991821	
0,363	-0,0151062	
0,364	-0,0218201	
0,365	-0,0288391	
0,366	-0,0352478	
0,367	-0,039978	
0,368	-0,0476074	
0,369	-0,0520325	
0,37	-0,0588989	
0,371	-0,0663757	
0,372	-0,0712585	
0,373	-0,0776672	
0,374	-0,083313	
0,375	-0,0892639	
0,376	-0,0947571	
0,377	-0,100708	
0,378	-0,106964	
0,379	-0,112152	
0,38	-0,119324	
0,381	-0,123138	
0,382	-0,127869	
0,383	-0,134888	
0,384	-0,140381	
0,385	-0,146027	
0,386	-0,15152	
0,387	-0,156403	
0,388	-0,160522	
0,389	-0,166473	
0,39	-0,172729	
0,391	-0,177155	
0,392	-0,182037	
0,393	-0,18631	
