Time - Voltage_0	Piezo spanning  (Volt) - Voltage_0	
0	-0.109406	
0.001	-0.10849	
0.002	-0.108643	
0.003	-0.108185	
0.004	-0.10788	
0.005	-0.108032	
0.006	-0.107727	
0.007	-0.106964	
0.008	-0.105743	
0.009	-0.105591	
0.01	-0.10498	
0.011	-0.104523	
0.012	-0.104523	
0.013	-0.10376	
0.014	-0.102997	
0.015	-0.102081	
0.016	-0.102234	
0.017	-0.102081	
0.018	-0.101776	
0.019	-0.100403	
0.02	-0.100098	
0.021	-0.0990295	
0.022	-0.0985718	
0.023	-0.098114	
0.024	-0.0973511	
0.025	-0.0975037	
0.026	-0.0964355	
0.027	-0.096283	
0.028	-0.0946045	
0.029	-0.0942993	
0.03	-0.0933838	
0.031	-0.0935364	
0.032	-0.0923157	
0.033	-0.0920105	
0.034	-0.0912476	
0.035	-0.0900269	
0.036	-0.0897217	
0.037	-0.0891113	
0.038	-0.0892639	
0.039	-0.0874329	
0.04	-0.0869751	
0.041	-0.0862122	
0.042	-0.085144	
0.043	-0.0845337	
0.044	-0.0839233	
0.045	-0.0837708	
0.046	-0.0827026	
0.047	-0.0822449	
0.048	-0.0808716	
0.049	-0.0802612	
0.05	-0.0790405	
0.051	-0.0787354	
0.052	-0.078125	
0.053	-0.0765991	
0.054	-0.0758362	
0.055	-0.0753784	
0.056	-0.0747681	
0.057	-0.0741577	
0.058	-0.0738525	
0.059	-0.0718689	
0.06	-0.0709534	
0.061	-0.0698853	
0.062	-0.0691223	
0.063	-0.068512	
0.064	-0.0674438	
0.065	-0.0671387	
0.066	-0.065918	
0.067	-0.0653076	
0.068	-0.0634766	
0.069	-0.063324	
0.07	-0.0622559	
0.071	-0.0614929	
0.072	-0.0604248	
0.073	-0.0593567	
0.074	-0.058136	
0.075	-0.0570679	
0.076	-0.0567627	
0.077	-0.0566101	
0.078	-0.0553894	
0.079	-0.0538635	
0.08	-0.052948	
0.081	-0.0517273	
0.082	-0.0505066	
0.083	-0.0494385	
0.084	-0.0492859	
0.085	-0.0485229	
0.086	-0.0474548	
