Time - Voltage_0	Piezo spanning  (Volt) - Voltage_0	
0	-0.010376	
0.001	-0.00991821	
0.002	-0.00915527	
0.003	-0.00656128	
0.004	-0.00183105	
0.005	0.00259399	
0.006	0.00640869	
0.007	0.00961304	
0.008	0.010376	
0.009	0.0102234	
0.01	0.0115967	
0.011	0.012207	
0.012	0.0115967	
0.013	0.00930786	
0.014	0.00411987	
0.015	-0.00183105	
0.016	-0.00579834	
0.017	-0.00839233	
0.018	-0.0108337	
0.019	-0.0100708	
0.02	-0.0119019	
0.021	-0.00991821	
0.022	-0.00900269	
0.023	-0.00488281	
0.024	-0.0012207	
0.025	0.00259399	
0.026	0.00549316	
0.027	0.00808716	
0.028	0.00976562	
0.029	0.0115967	
0.03	0.0140381	
0.031	0.0131226	
0.032	0.0109863	
0.033	0.00717163	
0.034	0.00274658	
0.035	-0.000610352	
0.036	-0.0038147	
0.037	-0.00778198	
0.038	-0.00991821	
0.039	-0.0111389	
0.04	-0.0112915	
0.041	-0.0102234	
0.042	-0.00717163	
0.043	-0.00518799	
0.044	-0.00183105	
0.045	0.0012207	
0.046	0.00411987	
0.047	0.00839233	
0.048	0.0109863	
0.049	0.0128174	
0.05	0.0131226	
0.051	0.0131226	
0.052	0.0105286	
0.053	0.00823975	
0.054	0.00396729	
0.055	-0.000915527	
0.056	-0.00442505	
0.057	-0.00839233	
0.058	-0.00915527	
0.059	-0.0102234	
0.06	-0.0102234	
0.061	-0.010376	
0.062	-0.00808716	
0.063	-0.00656128	
0.064	-0.00274658	
0.065	0.00106812	
0.066	0.00534058	
0.067	0.00900269	
0.068	0.0120544	
0.069	0.0134277	
0.07	0.0141907	
0.071	0.01297	
0.072	0.00976562	
0.073	0.00671387	
0.074	0.00228882	
0.075	-0.000457764	
0.076	-0.0038147	
0.077	-0.00701904	
0.078	-0.0088501	
0.079	-0.0100708	
0.08	-0.0111389	
0.081	-0.0108337	
0.082	-0.0088501	
0.083	-0.00671387	
0.084	-0.00183105	
0.085	0.00183105	
0.086	0.00579834	
0.087	0.00976562	
0.088	0.012207	
0.089	0.0131226	
0.09	0.0137329	
0.091	0.0119019	
0.092	0.00900269	
0.093	0.0062561	
0.094	0.00274658	
0.095	0.000305176	
0.096	-0.00305176	
0.097	-0.00717163	
0.098	-0.00946045	
0.099	-0.0111389	
0.1	-0.0125122	
0.101	-0.0109863	
0.102	-0.00869751	
0.103	-0.00610352	
0.104	-0.00183105	
0.105	0.00213623	
0.106	0.0062561	
0.107	0.00991821	
0.108	0.0115967	
0.109	0.012207	
0.11	0.0119019	
0.111	0.0114441	
0.112	0.0102234	
0.113	0.00823975	
0.114	0.00396729	
0.115	0.000152588	
0.116	-0.0038147	
0.117	-0.00747681	
0.118	-0.0102234	
0.119	-0.0117493	
0.12	-0.0119019	
0.121	-0.0106812	
0.122	-0.00823975	
0.123	-0.00579834	
0.124	-0.00183105	
0.125	0.00183105	
0.126	0.00610352	
0.127	0.00991821	
0.128	0.0112915	
0.129	0.0117493	
0.13	0.0126648	
0.131	0.0128174	
0.132	0.0105286	
0.133	0.00747681	
0.134	0.00320435	
0.135	0	
0.136	-0.0038147	
0.137	-0.00762939	
0.138	-0.00976562	
0.139	-0.0111389	
0.14	-0.0114441	
0.141	-0.0106812	
0.142	-0.00839233	
0.143	-0.00549316	
0.144	-0.00167847	
0.145	0.00167847	
0.146	0.00534058	
0.147	0.00915527	
0.148	0.0111389	
0.149	0.0125122	
0.15	0.0134277	
0.151	0.0128174	
0.152	0.0102234	
0.153	0.00717163	
0.154	0.00350952	
0.155	-0.000305176	
0.156	-0.00366211	
0.157	-0.00747681	
0.158	-0.00961304	
0.159	-0.0111389	
0.16	-0.0115967	
0.161	-0.0112915	
0.162	-0.00854492	
0.163	-0.00564575	
0.164	-0.0012207	
0.165	0.00152588	
0.166	0.0050354	
0.167	0.00900269	
0.168	0.0120544	
0.169	0.0128174	
0.17	0.0128174	
0.171	0.0123596	
0.172	0.0100708	
0.173	0.00762939	
0.174	0.00350952	
0.175	-0.000305176	
0.176	-0.00427246	
0.177	-0.00762939	
0.178	-0.00946045	
0.179	-0.0105286	
0.18	-0.0114441	
0.181	-0.0106812	
0.182	-0.00854492	
0.183	-0.00595093	
0.184	-0.00167847	
0.185	0.00167847	
0.186	0.00518799	
0.187	0.00915527	
0.188	0.0112915	
0.189	0.0115967	
0.19	0.0131226	
0.191	0.0131226	
0.192	0.0106812	
0.193	0.00808716	
0.194	0.00427246	
0.195	-0.000152588	
0.196	-0.00350952	
0.197	-0.00778198	
0.198	-0.00900269	
0.199	-0.0108337	
0.2	-0.0114441	
0.201	-0.0128174	
0.202	-0.00900269	
0.203	-0.00640869	
