Time - Voltage	Piezo spanning  (Volt) - Voltage	
0	0.276489	
0.001	0.275726	
0.002	0.276489	
0.003	0.276489	
0.004	0.276642	
0.005	0.276947	
0.006	0.2771	
0.007	0.275879	
0.008	0.276184	
0.009	0.277252	
0.01	0.276794	
0.011	0.275574	
0.012	0.277405	
0.013	0.275116	
0.014	0.276489	
0.015	0.275574	
0.016	0.276031	
0.017	0.27771	
0.018	0.277405	
0.019	0.276489	
0.02	0.276337	
0.021	0.276337	
0.022	0.276947	
0.023	0.276642	
0.024	0.2771	
0.025	0.2771	
0.026	0.277557	
0.027	0.275574	
0.028	0.276031	
0.029	0.276642	
0.03	0.276337	
0.031	0.2771	
0.032	0.276184	
0.033	0.275421	
0.034	0.277405	
0.035	0.276337	
0.036	0.276794	
0.037	0.277252	
0.038	0.276947	
0.039	0.2771	
0.04	0.276794	
0.041	0.276337	
0.042	0.275269	
0.043	0.277252	
0.044	0.27771	
0.045	0.27771	
0.046	0.276794	
0.047	0.275726	
0.048	0.276642	
0.049	0.276489	
0.05	0.276794	
0.051	0.277405	
0.052	0.275269	
0.053	0.275574	
0.054	0.275726	
0.055	0.276794	
0.056	0.277252	
0.057	0.276642	
0.058	0.2771	
0.059	0.276489	
0.06	0.2771	
0.061	0.276337	
0.062	0.275269	
0.063	0.277405	
0.064	0.276947	
0.065	0.277557	
0.066	0.276489	
0.067	0.275574	
0.068	0.276489	
0.069	0.276337	
0.07	0.277405	
0.071	0.276642	
0.072	0.275879	
0.073	0.275879	
0.074	0.276337	
0.075	0.276184	
0.076	0.276184	
0.077	0.276947	
0.078	0.276947	
0.079	0.276794	
0.08	0.276642	
0.081	0.276794	
0.082	0.276489	
0.083	0.277557	
0.084	0.276489	
0.085	0.277557	
0.086	0.276184	
0.087	0.275726	
0.088	0.275726	
0.089	0.276489	
0.09	0.276184	
0.091	0.275574	
0.092	0.275574	
0.093	0.275116	
0.094	0.275726	
0.095	0.276337	
0.096	0.275421	
0.097	0.276947	
0.098	0.276184	
0.099	0.276794	
0.1	0.275574	
0.101	0.276031	
0.102	0.275421	
0.103	0.276642	
0.104	0.276031	
0.105	0.276794	
0.106	0.276642	
0.107	0.275726	
0.108	0.275269	
0.109	0.276489	
0.11	0.275879	
0.111	0.276184	
0.112	0.275879	
0.113	0.275421	
0.114	0.276031	
0.115	0.275726	
0.116	0.276337	
0.117	0.276642	
0.118	0.276947	
0.119	0.276489	
0.12	0.276184	
0.121	0.276184	
0.122	0.275574	
0.123	0.276642	
0.124	0.2771	
0.125	0.276337	
0.126	0.276489	
0.127	0.275269	
0.128	0.276184	
0.129	0.275574	
0.13	0.275421	
0.131	0.276642	
0.132	0.276031	
0.133	0.275269	
0.134	0.276489	
0.135	0.275879	
0.136	0.276947	
0.137	0.276489	
0.138	0.275116	
0.139	0.276031	
0.14	0.275574	
0.141	0.275574	
0.142	0.274811	
0.143	0.276184	
0.144	0.276184	
0.145	0.275269	
0.146	0.275726	
0.147	0.274658	
0.148	0.276489	
0.149	0.275116	
0.15	0.275421	
0.151	0.275879	
0.152	0.274353	
0.153	0.275116	
0.154	0.275421	
0.155	0.275269	
0.156	0.274963	
0.157	0.276337	
0.158	0.276337	
0.159	0.275269	
0.16	0.275421	
0.161	0.275421	
0.162	0.274658	
0.163	0.276184	
0.164	0.275421	
0.165	0.275726	
0.166	0.276184	
0.167	0.274658	
0.168	0.275879	
0.169	0.275269	
0.17	0.275726	
0.171	0.274811	
0.172	0.274506	
0.173	0.275879	
0.174	0.275116	
0.175	0.274506	
0.176	0.274353	
0.177	0.275421	
0.178	0.275421	
0.179	0.275116	
0.18	0.275116	
0.181	0.274048	
0.182	0.274353	
0.183	0.275574	
0.184	0.275879	
0.185	0.275269	
0.186	0.274963	
0.187	0.274658	
0.188	0.274963	
0.189	0.275269	
0.19	0.275421	
0.191	0.274811	
0.192	0.275574	
0.193	0.274353	
0.194	0.274353	
0.195	0.274811	
0.196	0.275574	
0.197	0.275879	
0.198	0.274658	
0.199	0.275116	
0.2	0.274658	
0.201	0.274658	
0.202	0.274658	
0.203	0.274658	
0.204	0.274353	
0.205	0.274963	
0.206	0.274048	
0.207	0.274353	
0.208	0.2742	
0.209	0.274811	
0.21	0.273895	
0.211	0.274811	
0.212	0.274658	
0.213	0.27298	
0.214	0.27359	
0.215	0.274048	
0.216	0.274353	
0.217	0.275116	
0.218	0.274506	
0.219	0.273895	
0.22	0.27359	
0.221	0.274353	
0.222	0.2742	
0.223	0.274506	
0.224	0.2742	
0.225	0.274658	
0.226	0.274353	
0.227	0.27359	
0.228	0.27359	
0.229	0.273895	
0.23	0.273437	
0.231	0.273743	
0.232	0.273895	
0.233	0.273437	
0.234	0.273437	
0.235	0.273743	
0.236	0.273895	
0.237	0.274506	
0.238	0.274963	
0.239	0.273437	
0.24	0.27359	
