Time - Voltage	Piezo spanning  (Volt) - Voltage	
0	0.227356	
0.001	0.265503	
0.002	0.276489	
0.003	0.258636	
0.004	0.21637	
0.005	0.151215	
0.006	0.0717163	
0.007	-0.0163269	
0.008	-0.103302	
0.009	-0.179138	
0.01	-0.23941	
0.011	-0.27771	
0.012	-0.288696	
0.013	-0.271912	
0.014	-0.229645	
0.015	-0.164337	
0.016	-0.0834656	
0.017	0.00320435	
0.018	0.0898743	
0.019	0.166168	
0.02	0.226746	
0.021	0.26474	
0.022	0.275879	
0.023	0.258942	
0.024	0.215759	
0.025	0.150909	
0.026	0.0714111	
0.027	-0.0158691	
0.028	-0.102692	
0.029	-0.17868	
0.03	-0.239563	
0.031	-0.2771	
0.032	-0.289001	
0.033	-0.271606	
0.034	-0.229492	
0.035	-0.164337	
0.036	-0.0834656	
0.037	0.00305176	
0.038	0.0898743	
0.039	0.165405	
0.04	0.226898	
0.041	0.264282	
0.042	0.276642	
0.043	0.258942	
0.044	0.215149	
0.045	0.151062	
0.046	0.0706482	
0.047	-0.0158691	
0.048	-0.102386	
0.049	-0.178833	
0.05	-0.240173	
0.051	-0.278473	
0.052	-0.289459	
0.053	-0.271454	
0.054	-0.229187	
0.055	-0.164185	
0.056	-0.0840759	
0.057	0.00274658	
0.058	0.0897217	
0.059	0.166779	
0.06	0.226593	
0.061	0.26535	
0.062	0.276947	
0.063	0.258026	
0.064	0.215149	
0.065	0.151367	
0.066	0.0712585	
0.067	-0.0154114	
0.068	-0.102997	
0.069	-0.179596	
0.07	-0.239716	
0.071	-0.278473	
0.072	-0.289917	
0.073	-0.272064	
0.074	-0.230103	
0.075	-0.163574	
0.076	-0.0840759	
0.077	0.00274658	
0.078	0.0901794	
0.079	0.166473	
0.08	0.227966	
0.081	0.265045	
0.082	0.276337	
0.083	0.258331	
0.084	0.21637	
0.085	0.152283	
0.086	0.0697327	
0.087	-0.015564	
0.088	-0.103302	
0.089	-0.179138	
0.09	-0.239258	
0.091	-0.277252	
0.092	-0.289307	
0.093	-0.272522	
0.094	-0.22934	
0.095	-0.16449	
0.096	-0.0834656	
0.097	0.00320435	
0.098	0.0904846	
0.099	0.166779	
0.1	0.226288	
0.101	0.264587	
0.102	0.275116	
0.103	0.258179	
0.104	0.217133	
0.105	0.150604	
0.106	0.0706482	
0.107	-0.015564	
0.108	-0.102692	
0.109	-0.179291	
0.11	-0.239716	
0.111	-0.276947	
0.112	-0.289612	
0.113	-0.272369	
0.114	-0.229645	
0.115	-0.164337	
0.116	-0.0834656	
0.117	0.00320435	
0.118	0.0901794	
0.119	0.166779	
0.12	0.226746	
0.121	0.265198	
0.122	0.276337	
0.123	0.258942	
0.124	0.215912	
0.125	0.150299	
0.126	0.0712585	
0.127	-0.0152588	
0.128	-0.102997	
0.129	-0.180206	
0.13	-0.239258	
0.131	-0.277557	
0.132	-0.289154	
0.133	-0.272217	
