Time - Voltage_0	Piezo spanning  (Volt) - Voltage_0	
0	-0,03479	
0,001	-0,03479	
0,002	-0,035553	
0,003	-0,0349426	
0,004	-0,0357056	
0,005	-0,0354004	
0,006	-0,0361633	
0,007	-0,0364685	
0,008	-0,0361633	
0,009	-0,0386047	
0,01	-0,0366211	
0,011	-0,0367737	
0,012	-0,0366211	
0,013	-0,0372314	
0,014	-0,038147	
0,015	-0,0378418	
0,016	-0,0382996	
0,017	-0,0382996	
0,018	-0,0379944	
0,019	-0,038147	
0,02	-0,0390625	
0,021	-0,0386047	
0,022	-0,0392151	
0,023	-0,0387573	
0,024	-0,0392151	
0,025	-0,0398254	
0,026	-0,0405884	
0,027	-0,0411987	
0,028	-0,040741	
0,029	-0,0404358	
0,03	-0,0408936	
0,031	-0,0413513	
0,032	-0,0408936	
0,033	-0,0413513	
0,034	-0,0419617	
0,035	-0,0419617	
0,036	-0,0424194	
0,037	-0,0416565	
0,038	-0,0427246	
0,039	-0,0422668	
0,04	-0,0431824	
0,041	-0,0427246	
0,042	-0,0431824	
0,043	-0,043335	
0,044	-0,0436401	
0,045	-0,0440979	
0,046	-0,0447083	
0,047	-0,0456238	
0,048	-0,0445557	
0,049	-0,0445557	
0,05	-0,0448608	
0,051	-0,0448608	
0,052	-0,045166	
0,053	-0,0457764	
0,054	-0,0454712	
0,055	-0,045929	
0,056	-0,0463867	
0,057	-0,0454712	
0,058	-0,0460815	
0,059	-0,0465393	
0,06	-0,0468445	
0,061	-0,0471497	
0,062	-0,0476074	
0,063	-0,0471497	
0,064	-0,0473022	
0,065	-0,0479126	
0,066	-0,0488281	
0,067	-0,0497437	
0,068	-0,0483704	
0,069	-0,0488281	
0,07	-0,0486755	
0,071	-0,0488281	
0,072	-0,0488281	
0,073	-0,0495911	
0,074	-0,0509644	
0,075	-0,0497437	
0,076	-0,050354	
0,077	-0,0497437	
0,078	-0,0506592	
0,079	-0,050354	
0,08	-0,0508118	
0,081	-0,0512695	
0,082	-0,0517273	
0,083	-0,0515747	
0,084	-0,0517273	
0,085	-0,0520325	
0,086	-0,0521851	
0,087	-0,0535583	
0,088	-0,0523376	
0,089	-0,052948	
0,09	-0,0524902	
0,091	-0,0527954	
0,092	-0,0534058	
0,093	-0,0534058	
0,094	-0,0540161	
0,095	-0,0547791	
0,096	-0,0538635	
0,097	-0,0538635	
0,098	-0,0538635	
0,099	-0,0543213	
0,1	-0,0550842	
0,101	-0,0553894	
0,102	-0,0550842	
0,103	-0,0556946	
0,104	-0,0552368	
0,105	-0,055542	
0,106	-0,0566101	
0,107	-0,0567627	
0,108	-0,0563049	
0,109	-0,0564575	
0,11	-0,057373	
0,111	-0,0564575	
0,112	-0,0570679	
0,113	-0,0575256	
0,114	-0,0576782	
0,115	-0,0584412	
0,116	-0,0579834	
0,117	-0,0570679	
0,118	-0,0582886	
0,119	-0,0579834	
0,12	-0,0585937	
0,121	-0,0588989	
0,122	-0,0590515	
0,123	-0,0588989	
0,124	-0,0588989	
0,125	-0,0596619	
0,126	-0,0602722	
0,127	-0,06073	
0,128	-0,0598145	
0,129	-0,0601196	
0,13	-0,0598145	
0,131	-0,0604248	
0,132	-0,06073	
0,133	-0,0610352	
0,134	-0,0610352	
0,135	-0,0617981	
0,136	-0,0617981	
0,137	-0,0610352	
0,138	-0,0619507	
0,139	-0,062561	
0,14	-0,0627136	
0,141	-0,0624084	
0,142	-0,062561	
0,143	-0,062561	
0,144	-0,0627136	
0,145	-0,0634766	
0,146	-0,0643921	
0,147	-0,0643921	
0,148	-0,0639343	
0,149	-0,0643921	
0,15	-0,0639343	
0,151	-0,0643921	
0,152	-0,0642395	
0,153	-0,0650024	
0,154	-0,0654602	
0,155	-0,0656128	
0,156	-0,0657654	
0,157	-0,0646973	
0,158	-0,0657654	
0,159	-0,0657654	
0,16	-0,0663757	
0,161	-0,0669861	
0,162	-0,0660706	
0,163	-0,0662231	
0,164	-0,0663757	
0,165	-0,0674438	
0,166	-0,0675964	
0,167	-0,0680542	
0,168	-0,0672913	
0,169	-0,0675964	
0,17	-0,0679016	
0,171	-0,067749	
0,172	-0,0680542	
0,173	-0,0686646	
0,174	-0,0688171	
0,175	-0,0697327	
0,176	-0,0691223	
0,177	-0,0683594	
0,178	-0,0692749	
0,179	-0,0694275	
0,18	-0,0700378	
0,181	-0,0695801	
0,182	-0,0704956	
0,183	-0,0694275	
0,184	-0,0698853	
0,185	-0,0708008	
0,186	-0,0709534	
0,187	-0,0718689	
0,188	-0,071106	
0,189	-0,0714111	
0,19	-0,0717163	
0,191	-0,0720215	
0,192	-0,0720215	
0,193	-0,0721741	
0,194	-0,0724792	
0,195	-0,0726318	
0,196	-0,0726318	
0,197	-0,0727844	
0,198	-0,0723267	
0,199	-0,072937	
0,2	-0,0735474	
0,201	-0,0735474	
0,202	-0,0738525	
0,203	-0,0737	
0,204	-0,0732422	
0,205	-0,0744629	
0,206	-0,0753784	
0,207	-0,0749207	
0,208	-0,0746155	
0,209	-0,0746155	
0,21	-0,0744629	
0,211	-0,075531	
0,212	-0,075531	
0,213	-0,0756836	
0,214	-0,0761414	
0,215	-0,0765991	
0,216	-0,0762939	
0,217	-0,0753784	
0,218	-0,0767517	
0,219	-0,0762939	
0,22	-0,0767517	
0,221	-0,0767517	
0,222	-0,0772095	
0,223	-0,0775146	
0,224	-0,0769043	
0,225	-0,0775146	
0,226	-0,0787354	
0,227	-0,0791931	
0,228	-0,0779724	
0,229	-0,0778198	
0,23	-0,078125	
0,231	-0,0784302	
0,232	-0,0790405	
0,233	-0,0798035	
0,234	-0,0796509	
0,235	-0,0796509	
0,236	-0,0796509	
0,237	-0,0784302	
0,238	-0,0794983	
0,239	-0,0796509	
0,24	-0,0794983	
0,241	-0,0801086	
0,242	-0,0802612	
0,243	-0,0804138	
0,244	-0,080719	
0,245	-0,0810242	
0,246	-0,0816345	
0,247	-0,0827026	
0,248	-0,0817871	
0,249	-0,0814819	
0,25	-0,0814819	
0,251	-0,0820923	
0,252	-0,0817871	
0,253	-0,0822449	
0,254	-0,0834656	
0,255	-0,08255	
0,256	-0,0828552	
0,257	-0,0817871	
0,258	-0,08255	
0,259	-0,083313	
0,26	-0,0836182	
0,261	-0,0836182	
0,262	-0,0843811	
0,263	-0,083313	
0,264	-0,0837708	
0,265	-0,0840759	
0,266	-0,0849915	
0,267	-0,0854492	
0,268	-0,0845337	
0,269	-0,0852966	
0,27	-0,0848389	
0,271	-0,0852966	
0,272	-0,085144	
0,273	-0,0857544	
0,274	-0,085907	
0,275	-0,0865173	
0,276	-0,085144	
0,277	-0,0854492	
0,278	-0,0863647	
0,279	-0,0863647	
0,28	-0,0866699	
0,281	-0,0863647	
0,282	-0,0866699	
0,283	-0,0872803	
0,284	-0,0866699	
0,285	-0,0872803	
0,286	-0,0878906	
0,287	-0,088501	
0,288	-0,0878906	
0,289	-0,0881958	
0,29	-0,0883484	
0,291	-0,087738	
0,292	-0,0883484	
0,293	-0,0888062	
0,294	-0,0886536	
0,295	-0,0894165	
0,296	-0,0892639	
0,297	-0,0883484	
0,298	-0,0894165	
0,299	-0,0895691	
0,3	-0,0894165	
0,301	-0,0897217	
0,302	-0,0900269	
0,303	-0,0897217	
0,304	-0,0898743	
0,305	-0,091095	
0,306	-0,0906372	
0,307	-0,0914001	
0,308	-0,0909424	
0,309	-0,0912476	
0,31	-0,0909424	
0,311	-0,0906372	
0,312	-0,090332	
0,313	-0,0918579	
0,314	-0,0923157	
0,315	-0,0924683	
0,316	-0,0923157	
0,317	-0,0912476	
0,318	-0,0923157	
0,319	-0,0927734	
0,32	-0,092926	
0,321	-0,0926208	
0,322	-0,0932312	
0,323	-0,0927734	
0,324	-0,092926	
0,325	-0,0933838	
0,326	-0,0949097	
0,327	-0,093689	
0,328	-0,0941467	
0,329	-0,093689	
0,33	-0,093689	
0,331	-0,093689	
0,332	-0,0939941	
0,333	-0,0944519	
0,334	-0,0947571	
0,335	-0,0947571	
0,336	-0,0950623	
0,337	-0,0939941	
0,338	-0,0946045	
0,339	-0,0950623	
0,34	-0,09552	
0,341	-0,096283	
0,342	-0,0952148	
0,343	-0,0953674	
0,344	-0,0953674	
0,345	-0,0959778	
0,346	-0,0967407	
0,347	-0,0975037	
0,348	-0,0959778	
0,349	-0,0964355	
0,35	-0,0959778	
0,351	-0,0964355	
0,352	-0,0965881	
0,353	-0,0971985	
0,354	-0,0975037	
0,355	-0,0985718	
0,356	-0,0975037	
0,357	-0,0967407	
0,358	-0,0971985	
0,359	-0,0976562	
0,36	-0,0985718	
0,361	-0,098114	
0,362	-0,0991821	
0,363	-0,0984192	
0,364	-0,0984192	
0,365	-0,0985718	
0,366	-0,0993347	
0,367	-0,0999451	
0,368	-0,0991821	
0,369	-0,0996399	
0,37	-0,0993347	
0,371	-0,0993347	
0,372	-0,0994873	
0,373	-0,0999451	
0,374	-0,100098	
0,375	-0,100403	
0,376	-0,100098	
0,377	-0,0997925	
0,378	-0,0999451	
0,379	-0,100555	
0,38	-0,100861	
0,381	-0,100708	
0,382	-0,100861	
0,383	-0,100708	
0,384	-0,101013	
0,385	-0,101166	
0,386	-0,101776	
0,387	-0,102386	
0,388	-0,101624	
0,389	-0,101624	
0,39	-0,101318	
0,391	-0,102386	
0,392	-0,101776	
0,393	-0,102539	
0,394	-0,102539	
0,395	-0,102844	
0,396	-0,102539	
0,397	-0,102234	
0,398	-0,103455	
0,399	-0,102844	
0,4	-0,103455	
0,401	-0,102997	
0,402	-0,103302	
0,403	-0,102997	
