meting[-]	aandrijf_spanning[V]	frequentie[Hz]	gemeten_spanning[V]	kracht[N]	weights[-]
4	8.00	0.80	1.822E-5	9.6445	0
5	9.00	0.95	5.494E-5	9.5782	0
6	10.0	1.10	9.190E-5	9.5119	0
7	11.0	1.20	10.55E-5	9.4678	0
8	12.0	1.35	13.41E-5	9.4015	1
9	13.0	1.50	28.17E-5	9.3352	1
10	14.0	1.65	40.62E-5	9.2689	1
11	15.0	1.80	59.30E-5	9.2027	0
12	16.0	1.95	83.11E-5	9.1364	1
13	17.0	2.10	112.5E-5	9.0701	1
14	18.0	2.25	135.6E-5	9.0038	1
15	17.5	2.15	170.1E-5	9.0480	1
16	16.5	2.00	151.1E-5	9.1143	1
17	15.5	1.90	99.00E-5	9.1585	1
18	14.5	1.75	87.20E-5	9.2247	1
19	13.5	1.60	46.62E-5	9.2910	1
20	12.5	1.45	30.29E-5	9.3573	0
21	11.5	1.35	22.91E-5	9.4015	0
22	10.5	1.45	31.27E-5	9.3573	0
23	9.50	1.05	9.700E-5	9.5340	0
24	8.50	0.90	6.233E-5	9.6003	0
25	7.50	0.80	3.767E-5	9.6445	0
26	6.50	0.65	2.520E-5	9.7108	0
27	5.50	0.50	1.236E-5	9.7771	0
