Time - Voltage	Piezo spanning  (Volt) - Voltage	
0	-0.254211	
0.001	-0.250702	
0.002	-0.247192	
0.003	-0.245972	
0.004	-0.243073	
0.005	-0.240479	
0.006	-0.237274	
0.007	-0.23407	
0.008	-0.230865	
0.009	-0.226898	
0.01	-0.224762	
0.011	-0.222168	
0.012	-0.218048	
0.013	-0.215149	
0.014	-0.210419	
0.015	-0.207062	
0.016	-0.20462	
0.017	-0.200195	
0.018	-0.195312	
0.019	-0.192719	
0.02	-0.188141	
0.021	-0.184021	
0.022	-0.179138	
0.023	-0.175476	
0.024	-0.171509	
0.025	-0.167236	
0.026	-0.162811	
0.027	-0.158386	
0.028	-0.153503	
0.029	-0.148926	
0.03	-0.144501	
0.031	-0.140533	
0.032	-0.136108	
0.033	-0.131531	
0.034	-0.125427	
0.035	-0.121307	
0.036	-0.115814	
0.037	-0.111847	
0.038	-0.106506	
0.039	-0.102081	
0.04	-0.0961304	
0.041	-0.0898743	
0.042	-0.085907	
0.043	-0.0805664	
0.044	-0.0758362	
0.045	-0.0704956	
0.046	-0.0663757	
0.047	-0.059967	
0.048	-0.0550842	
0.049	-0.0492859	
0.05	-0.0440979	
0.051	-0.0404358	
0.052	-0.03479	
0.053	-0.0291443	
0.054	-0.0222778	
0.055	-0.0184631	
0.056	-0.0134277	
0.057	-0.00823975	
0.058	-0.00228882	
0.059	0.00259399	
0.06	0.00778198	
0.061	0.0140381	
0.062	0.0190735	
0.063	0.0245667	
0.064	0.0294495	
0.065	0.0344849	
0.066	0.0401306	
0.067	0.0463867	
0.068	0.0500488	
0.069	0.0559998	
0.07	0.0610352	
0.071	0.0663757	
0.072	0.0704956	
0.073	0.0764465	
0.074	0.0813293	
0.075	0.0866699	
0.076	0.0904846	
0.077	0.0967407	
0.078	0.100861	
0.079	0.105133	
0.08	0.111694	
0.081	0.116272	
0.082	0.121765	
0.083	0.125275	
0.084	0.130463	
0.085	0.134583	
0.086	0.139313	
0.087	0.144806	
0.088	0.148773	
0.089	0.15274	
0.09	0.157471	
0.091	0.161133	
0.092	0.165558	
0.093	0.16983	
0.094	0.174561	
0.095	0.179138	
0.096	0.182037	
0.097	0.185394	
0.098	0.189667	
0.099	0.19455	
0.1	0.197601	
0.101	0.202789	
0.102	0.205536	
0.103	0.208588	
0.104	0.212097	
0.105	0.215302	
0.106	0.218811	
0.107	0.223999	
0.108	0.225525	
0.109	0.228577	
0.11	0.231171	
0.111	0.233459	
0.112	0.237885	
0.113	0.240936	
0.114	0.243378	
0.115	0.244293	
0.116	0.247803	
0.117	0.250397	
0.118	0.251465	
0.119	0.253143	
0.12	0.256348	
0.121	0.259552	
0.122	0.261078	
0.123	0.261993	
0.124	0.263672	
0.125	0.266418	
0.126	0.266876	
0.127	0.26947	
0.128	0.270233	
0.129	0.271912	
0.13	0.273285	
0.131	0.273437	
0.132	0.273285	
0.133	0.275269	
0.134	0.276489	
0.135	0.277252	
0.136	0.277252	
0.137	0.276947	
0.138	0.278015	
0.139	0.27832	
0.14	0.279083	
0.141	0.279846	
0.142	0.278931	
0.143	0.279083	
0.144	0.277863	
0.145	0.278168	
0.146	0.276184	
0.147	0.27771	
0.148	0.276184	
0.149	0.275726	
0.15	0.274963	
0.151	0.273285	
0.152	0.272522	
0.153	0.271454	
0.154	0.270538	
0.155	0.269165	
0.156	0.267792	
0.157	0.265656	
0.158	0.263824	
0.159	0.261841	
0.16	0.261841	
0.161	0.259399	
0.162	0.257568	
0.163	0.255127	
0.164	0.252991	
0.165	0.250092	
0.166	0.246735	
0.167	0.246887	
0.168	0.244141	
0.169	0.241547	
0.17	0.237579	
0.171	0.234375	
0.172	0.232544	
0.173	0.229187	
0.174	0.227203	
0.175	0.222778	
0.176	0.218506	
0.177	0.21637	
0.178	0.212708	
0.179	0.209045	
0.18	0.205841	
0.181	0.203705	
0.182	0.199738	
0.183	0.195465	
0.184	0.19104	
0.185	0.186768	
0.186	0.182648	
0.187	0.179291	
0.188	0.176239	
0.189	0.171661	
0.19	0.167236	
0.191	0.161896	
0.192	0.158081	
0.193	0.154419	
0.194	0.149994	
0.195	0.144348	
0.196	0.140381	
0.197	0.136566	
0.198	0.131378	
0.199	0.126038	
0.2	0.121765	
0.201	0.117035	
0.202	0.113068	
0.203	0.108032	
0.204	0.103607	
0.205	0.0965881	
0.206	0.0917053	
0.207	0.0886536	
0.208	0.083313	
0.209	0.0790405	
0.21	0.0727844	
0.211	0.0662231	
0.212	0.0614929	
0.213	0.0572205	
0.214	0.0523376	
0.215	0.045929	
0.216	0.0402832	
0.217	0.0352478	
0.218	0.0302124	
0.219	0.025177	
0.22	0.0196838	
0.221	0.0151062	
0.222	0.010376	
0.223	0.00427246	
0.224	-0.00106812	
0.225	-0.00640869	
0.226	-0.0125122	
0.227	-0.0157166	
0.228	-0.0215149	
0.229	-0.0262451	
0.23	-0.0326538	
0.231	-0.0384521	
0.232	-0.0428772	
0.233	-0.0488281	
0.234	-0.0532532	
0.235	-0.0590515	
0.236	-0.0640869	
0.237	-0.0700378	
0.238	-0.0761414	
0.239	-0.0802612	
0.24	-0.0852966	
0.241	-0.088501	
0.242	-0.0946045	
0.243	-0.0994873	
0.244	-0.105286	
0.245	-0.110779	
0.246	-0.114899	
0.247	-0.119171	
0.248	-0.124207	
0.249	-0.129089	
0.25	-0.133972	
0.251	-0.140381	
0.252	-0.143433	
0.253	-0.147095	
0.254	-0.151672	
0.255	-0.157318	
0.256	-0.161896	
0.257	-0.166931	
0.258	-0.170898	
0.259	-0.174255	
0.26	-0.178986	
0.261	-0.182495	
0.262	-0.186615	
0.263	-0.191193	
0.264	-0.195465	
0.265	-0.19928	
0.266	-0.202637	
0.267	-0.206299	
0.268	-0.210266	
0.269	-0.21286	
0.27	-0.215912	
0.271	-0.2211	
0.272	-0.224915	
0.273	-0.227051	
0.274	-0.230255	
0.275	-0.233307	
0.276	-0.237274	
0.277	-0.239868	
0.278	-0.242767	
0.279	-0.245514	
0.28	-0.247345	
0.281	-0.249634	
0.282	-0.25238	
0.283	-0.254974	
0.284	-0.257874	
0.285	-0.261078	
0.286	-0.262451	
0.287	-0.263824	
0.288	-0.266571	
0.289	-0.268097	
0.29	-0.269318	
0.291	-0.271759	
0.292	-0.274658	
0.293	-0.274658	
0.294	-0.276031	
0.295	-0.278168	
0.296	-0.278778	
0.297	-0.281067	
0.298	-0.281372	
0.299	-0.28244	
0.3	-0.282288	
0.301	-0.283508	
0.302	-0.284271	
0.303	-0.284271	
0.304	-0.285034	
0.305	-0.28595	
0.306	-0.286102	
0.307	-0.285339	
0.308	-0.285492	
0.309	-0.285645	
0.31	-0.286865	
0.311	-0.286102	
0.312	-0.284424	
0.313	-0.285339	
0.314	-0.283661	
0.315	-0.283051	
0.316	-0.282898	
0.317	-0.28183	
0.318	-0.281372	
0.319	-0.279694	
0.32	-0.27832	
0.321	-0.276642	
0.322	-0.275269	
0.323	-0.2742	
0.324	-0.272827	
0.325	-0.271606	
0.326	-0.269165	
0.327	-0.267334	
0.328	-0.26535	
0.329	-0.263672	
0.33	-0.261383	
0.331	-0.26001	
0.332	-0.257416	
0.333	-0.253906	
0.334	-0.251465	
0.335	-0.249023	
0.336	-0.247803	
0.337	-0.244446	
0.338	-0.240936	
0.339	-0.238037	
0.34	-0.235901	
0.341	-0.231476	
0.342	-0.228729	
0.343	-0.22522	
0.344	-0.222473	
0.345	-0.218964	
0.346	-0.216522	
0.347	-0.211639	
0.348	-0.209045	
0.349	-0.20462	
0.35	-0.200348	
0.351	-0.198669	
0.352	-0.193024	
0.353	-0.189209	
0.354	-0.184784	
0.355	-0.181427	
0.356	-0.177155	
0.357	-0.17334	
0.358	-0.169983	
0.359	-0.164032	
0.36	-0.16037	
0.361	-0.155334	
0.362	-0.150146	
0.363	-0.145264	
0.364	-0.141602	
0.365	-0.138245	
0.366	-0.132446	
0.367	-0.126648	
0.368	-0.122681	
0.369	-0.116882	
0.37	-0.112915	
0.371	-0.108185	
0.372	-0.102844	
0.373	-0.0976562	
0.374	-0.0923157	
0.375	-0.088501	
0.376	-0.0822449	
0.377	-0.0779724	
0.378	-0.0738525	
0.379	-0.067749	
0.38	-0.0616455	
0.381	-0.0558472	
0.382	-0.0514221	
0.383	-0.045929	
0.384	-0.0405884	
0.385	-0.0364685	
0.386	-0.0306702	
0.387	-0.0242615	
0.388	-0.0198364	
0.389	-0.0143433	
0.39	-0.00915527	
0.391	-0.00411987	
0.392	0.000457764	
0.393	0.00671387	
0.394	0.0123596	
0.395	0.0169373	
0.396	0.0231934	
0.397	0.0260925	
0.398	0.0317383	
0.399	0.0379944	
0.4	0.0442505	
0.401	0.0498962	
0.402	0.0546265	
0.403	0.0593567	
0.404	0.0637817	
0.405	0.0692749	
0.406	0.0740051	
0.407	0.0810242	
0.408	0.0845337	
0.409	0.0891113	
0.41	0.09552	
0.411	0.0982666	
0.412	0.10437	
0.413	0.109863	
0.414	0.116272	
0.415	0.118561	
0.416	0.123291	
0.417	0.126953	
0.418	0.133667	
0.419	0.138397	
0.42	0.141602	
0.421	0.147858	
0.422	0.151825	
0.423	0.156097	
0.424	0.161285	
0.425	0.163879	
0.426	0.168457	
0.427	0.17334	
0.428	0.177917	
0.429	0.181427	
0.43	0.184937	
0.431	0.189209	
0.432	0.193176	
0.433	0.196686	
0.434	0.200043	
0.435	0.204468	
0.436	0.20752	
0.437	0.210419	
0.438	0.214081	
0.439	0.217285	
0.44	0.221405	
0.441	0.224304	
0.442	0.228271	
0.443	0.231476	
0.444	0.233612	
0.445	0.235748	
0.446	0.239105	
0.447	0.242615	
0.448	0.244598	
0.449	0.247345	
0.45	0.249786	
0.451	0.251007	
0.452	0.253296	
0.453	0.256042	
0.454	0.258026	
0.455	0.260162	
0.456	0.261688	
0.457	0.262146	
0.458	0.26413	
0.459	0.265961	
0.46	0.268555	
0.461	0.270233	
0.462	0.271301	
0.463	0.272064	
0.464	0.272675	
0.465	0.2742	
0.466	0.276489	
0.467	0.275726	
0.468	0.276642	
0.469	0.277252	
0.47	0.277863	
0.471	0.27771	
0.472	0.278168	
0.473	0.278015	
0.474	0.278015	
0.475	0.279388	
0.476	0.279694	
0.477	0.276794	
0.478	0.277557	
0.479	0.277252	
0.48	0.277252	
0.481	0.277252	
0.482	0.276184	
0.483	0.275421	
0.484	0.274048	
0.485	0.272827	
0.486	0.271759	
0.487	0.271606	
0.488	0.269775	
0.489	0.268402	
0.49	0.266571	
0.491	0.26413	
0.492	0.262756	
0.493	0.261841	
0.494	0.259552	
0.495	0.258179	
0.496	0.255432	
0.497	0.252228	
0.498	0.251312	
0.499	0.248566	
0.5	0.246429	
0.501	0.244598	
0.502	0.241547	
0.503	0.23941	
0.504	0.235901	
0.505	0.233154	
0.506	0.22995	
0.507	0.227661	
0.508	0.224762	
0.509	0.221252	
0.51	0.217285	
0.511	0.214233	
0.512	0.210571	
0.513	0.20752	
0.514	0.203857	
0.515	0.200043	
0.516	0.196075	
0.517	0.191498	
0.518	0.189362	
0.519	0.184479	
0.52	0.180817	
0.521	0.177155	
0.522	0.173492	
0.523	0.169067	
0.524	0.164795	
0.525	0.159912	
0.526	0.154877	
0.527	0.151978	
0.528	0.14801	
0.529	0.141754	
0.53	0.137939	
0.531	0.132141	
0.532	0.128937	
0.533	0.122833	
0.534	0.119019	
0.535	0.114594	
0.536	0.107727	
0.537	0.103302	
0.538	0.098877	
0.539	0.0949097	
0.54	0.0894165	
0.541	0.085144	
0.542	0.0801086	
0.543	0.0741577	
0.544	0.0692749	
0.545	0.0631714	
0.546	0.0592041	
0.547	0.0543213	
0.548	0.0483704	
0.549	0.0431824	
0.55	0.0370789	
0.551	0.0318909	
0.552	0.0280762	
0.553	0.0212097	
0.554	0.017395	
0.555	0.0114441	
0.556	0.00564575	
0.557	0.000610352	
0.558	-0.00427246	
0.559	-0.0100708	
0.56	-0.0141907	
0.561	-0.0190735	
0.562	-0.0247192	
0.563	-0.0312805	
0.564	-0.0357056	
0.565	-0.0419617	
0.566	-0.0465393	
0.567	-0.0518799	
0.568	-0.0569153	
0.569	-0.0621033	
0.57	-0.0675964	
0.571	-0.0733948	
0.572	-0.0778198	
0.573	-0.0839233	
0.574	-0.0875854	
0.575	-0.0933838	
0.576	-0.0990295	
0.577	-0.103912	
0.578	-0.1091	
0.579	-0.11322	
0.58	-0.118866	
0.581	-0.122375	
0.582	-0.126648	
0.583	-0.132141	
0.584	-0.137939	
0.585	-0.142517	
0.586	-0.146942	
0.587	-0.150146	
0.588	-0.155334	
0.589	-0.159607	
0.59	-0.163879	
0.591	-0.169067	
0.592	-0.173645	
0.593	-0.176697	
0.594	-0.180511	
0.595	-0.185699	
0.596	-0.190277	
0.597	-0.19455	
0.598	-0.197449	
0.599	-0.201874	
0.6	-0.204926	
0.601	-0.208588	
0.602	-0.212402	
0.603	-0.214996	
0.604	-0.218658	
0.605	-0.223846	
0.606	-0.226898	
0.607	-0.227966	
0.608	-0.232697	
0.609	-0.235138	
0.61	-0.23819	
0.611	-0.241852	
0.612	-0.244446	
0.613	-0.247345	
0.614	-0.248871	
0.615	-0.252075	
0.616	-0.255127	
0.617	-0.256958	
0.618	-0.260468	
0.619	-0.261841	
0.62	-0.263214	
0.621	-0.263672	
0.622	-0.267029	
0.623	-0.269165	
